Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.76,0.6,Christian COLEMAN,06MAR1996,USA,28SEP2019
2,9.86,0.9,Noah LYLES,18JUL1997,USA,18MAY2019
2,9.86,0.8,Divine ODUDURU,07OCT1996,NGR,07JUN2019
4,9.87,-0.1,Justin GATLIN,10FEB1982,USA,30JUN2019
5,9.9,0.6,Andre DEGRASSE,10NOV1994,CAN,28SEP2019
6,9.93,0.8,Cravon GILLESPIE,31JUL1996,USA,07JUN2019
6,9.93,0.5,Akani SIMBINE,21SEP1993,RSA,20JUL2019
6,9.93,1.9,Arthur CISS,29DEC1996,CIV,24JUL2019
9,9.95,0.5,Zharnel HUGHES,13JUL1995,GBR,20JUL2019
10,9.96,0.4,Yohan BLAKE,26DEC1989,JAM,21JUN2019
10,9.96,1.7,Aaron BROWN,27MAY1992,CAN,26JUL2019
10,9.96,1.6,Raymond EKEVWO,23MAR1999,NGR,27AUG2019
13,9.97,0.9,Reece PRESCOD,29FEB1996,GBR,18MAY2019
13,9.97,0.8,Abdul HakimSANIBROWN,06MAR1999,JPN,07JUN2019
13,9.97,1.6,Michael RODGERS,24APR1985,USA,25AUG2019
16,9.98,1.0,Roberto SKYERS,12NOV1991,CUB,22FEB2019
16,9.98,1.3,Mario BURKE,18MAR1997,BAR,05JUN2019
16,9.98,0.5,Yuki KOIKE,13MAY1995,JPN,20JUL2019
19,9.99,1.8,Isiah YOUNG,05JAN1990,USA,06JUL2019
20,10.0,0.4,Tyquendo TRACEY,10JUN1993,JAM,21JUN2019
21,10.01,1.7,Yoshihide KIRYU,15DEC1995,JPN,19MAY2019
21,10.01,1.3,Devin QUINN,08JUN1996,USA,05JUN2019
21,10.01,1.3,Joseph PaulAMOAH,12JAN1997,GHA,05JUN2019
21,10.01,0.9,Zhenye XIE,17AUG1993,CHN,13JUN2019
21,10.01,1.1,Waseem WILLIAMS,08JAN1997,JAM,05JUL2019
21,10.01,1.1,Samson COLEBROOKE,10MAY1997,BAH,05JUL2019
21,10.01,1.8,Emmanuel MATADI,15APR1991,LBR,06JUL2019
28,10.02,1.5,Paulo AndrCAMILODEOLIVEIRA,20AUG1998,BRA,19APR2019
28,10.02,1.9,Kemar HYMAN,11OCT1989,CAY,18MAY2019
28,10.02,1.9,Asafa POWELL,23NOV1982,JAM,24JUL2019
28,10.02,1.4,Jimmy VICAUT,27FEB1992,FRA,26JUL2019
28,10.02,1.6,Usheoritse ITSEKIRI,31JAN1998,NGR,27AUG2019
33,10.03,1.2,Demek KEMP,26APR1996,USA,13APR2019
33,10.03,1.7,Lalu MuhammadZOHRI,01JUL2000,INA,19MAY2019
33,10.03,1.7,Lamont MarcellJACOBS,26SEP1994,ITA,16JUL2019
33,10.03,-0.3,Hassan TAFTIAN,04MAY1993,IRI,24AUG2019
37,10.04,2.0,Reynier MENA,21NOV1996,CUB,22FEB2019
37,10.04,0.5,Adam GEMILI,06OCT1993,GBR,20JUL2019
39,10.05,0.5,Simon MAGAKWE,14MAY1986,RSA,25APR2019
39,10.05,1.2,Rodney ROWE,17MAR1997,USA,04MAY2019
39,10.05,0.9,Bingtian SU,29AUG1989,CHN,18MAY2019
39,10.05,1.3,Davon DEMOSS, ,USA,05JUN2019
39,10.05,1.8,Christopher BELCHER,29JAN1994,USA,06JUL2019
44,10.06,0.8,Andre EWERS,07JUN1995,JAM,11MAY2019
44,10.06,0.8,Bryand RINCHER, ,USA,07JUN2019
46,10.07,0.1,Cejhae GREENE,06OCT1995,ANT,30JUN2019
46,10.07,1.6,Vitor HugoDOSSANTOS,01FEB1996,BRA,29AUG2019
46,10.07,0.6,Filippo TORTU,15JUN1998,ITA,28SEP2019
49,10.08,2.0,Rohan BROWNING,31DEC1997,AUS,23MAR2019
49,10.08,1.8,Mustaqeem WILLIAMS,24AUG1995,USA,11MAY2019
49,10.08,0.1,Alex WILSON,19SEP1990,SUI,30JUN2019
49,10.08,0.9,Thando DLODLO,22APR1999,RSA,06JUL2019
49,10.08,1.9,Ojie EURUN,02JUN1996,GBR,24JUL2019
49,10.08,-1.1,Marvin POPOOLA,05SEP1995,GBR,27JUL2019
49,10.08,1.2,Samuel GORDON,05OCT1994,GBR,14AUG2019
56,10.09,1.5,Raheem CHAMBERS,06OCT1997,JAM,10MAY2019
56,10.09,1.3,Mc KinleyWEST, ,USA,05JUN2019
58,10.1,0.3,Kendal WILLIAMS,23SEP1995,USA,05MAY2019
58,10.1,0.4,Rasheed DWYER,29JAN1989,JAM,21JUN2019
58,10.1,1.1,Ameer WEBB,19MAR1991,USA,10JUL2019
58,10.1,0.0,Rodrigo DONASCIMENTO,26SEP1994,BRA,18AUG2019
62,10.11,1.8,Keitavious WALTER,16APR1996,USA,11MAY2019
62,10.11,1.7,Ryota YAMAGATA,10JUN1992,JPN,19MAY2019
62,10.11,1.7,Seye OGUNLEWE,30AUG1991,NGR,09JUN2019
62,10.11,1.0,Harry AIKINESARYEETEY,29AUG1988,GBR,22JUN2019
62,10.11,0.5,Matthew BOLING,20JUN2000,USA,19JUL2019
62,10.11,0.2,Nethaneel MITCHELLBLAKE,02APR1994,GBR,01SEP2019
68,10.12,1.8,Jaron FLOURNOY,24NOV1996,USA,11MAY2019
68,10.12,1.7,Shuhei TADA,24JUN1996,JPN,19MAY2019
68,10.12,1.7,Cameron BURRELL,11SEP1994,USA,19MAY2019
68,10.12,0.9,Damian WARNER,04NOV1989,CAN,25MAY2019
68,10.12,1.0,Ryuichiro SAKAI,14MAR1998,JPN,08JUN2019
68,10.12,0.7,Enoch ADEGOKE,08MAR2000,NGR,15JUN2019
68,10.12,-0.3,Kukyoung KIM,19APR1991,KOR,25JUN2019
68,10.12,0.1,Taymir BURNET,01OCT1992,NED,30JUN2019
68,10.12,0.7,Zhouzheng XU,26DEC1995,CHN,30JUN2019
68,10.12,1.7,Mouhamadou FALL,25FEB1992,FRA,26JUL2019
78,10.13,1.4,Oblique SEVILLE,16MAR2001,JAM,29MAR2019
78,10.13,0.8,Andrew HUDSON,14DEC1996,USA,20APR2019
78,10.13,0.6,Chijindu UJAH,05MAR1994,GBR,09JUN2019
78,10.13,0.4,Senoj JayGIVANS,30DEC1993,JAM,21JUN2019
78,10.13,1.9,Julian REUS,29APR1988,GER,24JUL2019
78,10.13,1.6,Aldemir JUNIOR,08JUN1992,BRA,29AUG2019
84,10.14,1.9,Yenns RFERNNDEZ,04JAN2001,CUB,07JUN2019
84,10.14,-1.0,Jeff DEMPS,08JAN1990,USA,20JUN2019
84,10.14,0.8,Jak AliHARVEY,04MAY1989,TUR,16SEP2019
87,10.15,0.1,Emile ERASMUS,03APR1992,RSA,13APR2019
87,10.15,1.2,Andrew FISHER,15DEC1991,BRN,21APR2019
87,10.15,1.5,Nick GRAY,02JUN1997,USA,12MAY2019
87,10.15,1.9,Mosito LEHATA,08APR1989,LES,07JUN2019
87,10.15,0.9,Kemar BAILEYCOLE,10JAN1992,JAM,08JUN2019
92,10.16,2.0,Emmanuel YEBOAH,10AUG1997,GHA,04MAY2019
92,10.16,2.0,Ramil GULIYEV,29MAY1990,TUR,25MAY2019
92,10.16,1.7,Joshua HARTMANN,09JUN1999,GER,25MAY2019
92,10.16,1.9,Harlyn PREZ,02JUN1995,CUB,07JUN2019
92,10.16,2.0,Joris VANGOOL,04APR1998,NED,30JUN2019
92,10.16,0.2,Gavin SMELLIE,26JUN1986,CAN,13JUL2019
92,10.16,1.6,Jan VELEBA,06DEC1986,CZE,26JUL2019
99,10.17,2.0,Zhiqiang WU,10APR1994,CHN,07JUN2019
99,10.17,0.7,Kyree KING,09JUL1994,USA,08JUN2019
