Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.77,0.6,Justin GATLIN,10FEB1982,USA,05SEP2014
2,9.82,1.7,Richard THOMPSON,07JUN1985,TTO,21JUN2014
3,9.87,1.6,Asafa POWELL,23NOV1982,JAM,23AUG2014
4,9.91,1.0,Michael RODGERS,24APR1985,USA,20JUL2014
5,9.93,1.8,Kemarley BROWN,20JUL1992,JAM,17MAY2014
5,9.93,0.1,Tyson GAY,09AUG1982,USA,03JUL2014
5,9.93,0.4,Femi OGUNODE,15MAY1991,QAT,28SEP2014
8,9.95,1.7,Jimmy VICAUT,27FEB1992,FRA,18MAY2014
9,9.96,1.4,Chijindu UJAH,05MAR1994,GBR,08JUN2014
9,9.96,1.0,Kim COLLINS,05APR1976,SKN,20JUL2014
9,9.96,2.0,Nesta CARTER,10NOV1985,JAM,21AUG2014
9,9.96,-0.3,Kemar BAILEYCOLE,10JAN1992,JAM,28AUG2014
13,9.97,1.8,Trayvon BROMELL,10JUL1995,USA,13JUN2014
13,9.97,0.3,Nickel ASHMEADE,07APR1990,JAM,11JUL2014
15,9.98,1.4,Simon MAGAKWE,14MAY1986,RSA,12APR2014
15,9.98,-0.6,Usain BOLT,21AUG1986,JAM,23AUG2014
17,10.0,1.7,Keston BLEDMAN,08MAR1988,TTO,21JUN2014
17,10.0,1.6,Trentavis FRIDAY,05JUN1995,USA,05JUL2014
17,10.0,0.6,James DASAOLU,05SEP1987,GBR,05SEP2014
20,10.01,0.0,Antoine ADAMS,31AUG1988,SKN,22JUN2014
21,10.02,1.4,Akani SIMBINE,21SEP1993,RSA,12APR2014
21,10.02,1.0,Alonso EDWARD,08DEC1989,PAN,26APR2014
21,10.02,0.6,Yohan BLAKE,26DEC1989,JAM,07JUN2014
21,10.02,1.8,Dentarius LOCKE,12DEC1989,USA,13JUN2014
25,10.03,1.5,Gerald PHIRI,06OCT1988,ZAM,10MAY2014
25,10.03,1.5,Julian FORTE,07JAN1993,JAM,17MAY2014
27,10.04,2.0,Diondre BATSON,13JUL1992,USA,02MAY2014
27,10.04,0.0,Jason ROGERS,31AUG1991,SKN,22JUN2014
27,10.04,1.6,Adam GEMILI,06OCT1993,GBR,05JUL2014
30,10.05,1.6,Yoshihide KIRYU,15DEC1995,JPN,17MAY2014
30,10.05,1.7,Darrel BROWN,11OCT1984,TTO,21JUN2014
30,10.05,-0.4,Jason LIVERMORE,25APR1988,JAM,27JUN2014
30,10.05,1.8,Julian REUS,29APR1988,GER,26JUL2014
30,10.05,0.4,Wilfried KOFFIHUA,12OCT1987,CIV,11AUG2014
35,10.06,0.9,Ramon GITTENS,20JUL1987,BAR,07JUN2014
36,10.07,1.6,Gabriel MVUMVURE,23FEB1988,ZIM,19APR2014
36,10.07,1.5,Lucas JAKUBCZYK,28APR1985,GER,10MAY2014
36,10.07,1.8,Aaron BROWN,27MAY1992,CAN,13JUN2014
36,10.07,1.7,Charles SILMON,04JUL1991,USA,27JUN2014
36,10.07,0.4,J ELKS,10APR1984,NGR,11AUG2014
41,10.08,1.7,Maurice MITCHELL,22DEC1989,USA,25APR2014
41,10.08,1.5,Marvin BRACY,15DEC1993,USA,26APR2014
41,10.08,1.4,Harry AIKINESARYEETEY,29AUG1988,GBR,08JUN2014
41,10.08,1.7,Rakieem SALAAM,05APR1990,USA,27JUN2014
45,10.09,0.5,Rondel SORRILLO,21JAN1986,TTO,21JUN2014
45,10.09,0.3,Andrew FISHER,15DEC1991,JAM,26JUN2014
47,10.1,0.1,Senoj JayGIVANS,30DEC1993,JAM,17MAY2014
47,10.1,0.6,Christophe LEMAITRE,11JUN1990,FRA,13AUG2014
47,10.1,-1.3,Daniel BAILEY,09SEP1986,ANT,15AUG2014
47,10.1,1.9,Andrew ROBERTSON,17DEC1990,GBR,23AUG2014
47,10.1,0.4,Bingtian SU,29AUG1989,CHN,28SEP2014
52,10.11,0.7,Shavez HART,06SEP1992,BAH,27JUN2014
52,10.11,1.0,Jaysuma SAIDYNDURE,01JUL1984,NOR,05JUL2014
54,10.12,1.3,Zharnel HUGHES,13JUL1995,AIA,28MAR2014
54,10.12,1.0,Gil ROBERTS,15MAR1989,USA,03MAY2014
54,10.12,1.5,Richard KILTY,02SEP1989,GBR,10MAY2014
54,10.12,0.4,Adam HARRIS,21JUL1987,GUY,17MAY2014
54,10.12,1.4,Kimmari ROACH,17APR1989,JAM,08JUN2014
54,10.12,1.8,Justin WALKER,30NOV1990,USA,13JUN2014
54,10.12,0.3,Dwain CHAMBERS,05APR1978,GBR,29JUN2014
54,10.12,-0.1,Ryan BAILEY,13APR1989,USA,14JUL2014
62,10.13,0.8,Clayton VAUGHN,15MAY1992,USA,26APR2014
62,10.13,1.5,James ELLINGTON,06SEP1985,GBR,26APR2014
62,10.13,0.7,Kei TAKASE,25NOV1988,JPN,29APR2014
62,10.13,-0.3,Harry ADAMS,27NOV1989,USA,06JUN2014
62,10.13,1.3,Mosito LEHATA,08APR1989,LES,27JUN2014
62,10.13,1.7,Sean MCLEAN,23MAR1992,USA,27JUN2014
