Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.89,0.9,Maurice GREENE,23JUL1974,USA,12JUL2002
2,9.94,-0.2,Frank FREDERICKS,02OCT1967,NAM,13APR2002
2,9.94,1.8,Shawn CRAWFORD,14JAN1978,USA,11MAY2002
4,9.95,1.8,Joshua JJOHNSON,10MAY1976,USA,21APR2002
5,9.97,2.0,Jon DRUMMOND,09SEP1968,USA,14SEP2002
6,9.98,1.4,Coby MILLER,19OCT1976,USA,18MAY2002
6,9.98,0.2,Kim COLLINS,05APR1976,SKN,27JUL2002
8,9.99,0.5,Brian LEWIS,05DEC1974,USA,04MAY2002
8,9.99,0.1,Bernard WILLIAMS,19JAN1978,USA,19JUL2002
10,10.01,0.3,Francis OBIKWELU,22NOV1978,POR,30AUG2002
11,10.03,0.7,Deji ALIU,22NOV1975,NGR,10JUN2002
12,10.04,0.4,L EWISFRANCIS,04SEP1982,GBR,05JUL2002
13,10.05,1.9,Shingo SUETSUGU,02JUN1980,JPN,06MAY2002
13,10.05,1.4,Nobuharu ASAHARA,21JUN1972,JPN,09JUN2002
15,10.06,-0.3,Uchenna EMEDOLU,17SEP1976,NGR,20SEP2002
16,10.08,2.0,Kenny BROKENBURR,29OCT1968,USA,10MAY2002
17,10.09,1.4,Greg SADDLER,29JUN1974,USA,04MAY2002
17,10.09,-0.6,Darrel BROWN,11OCT1984,TTO,17JUL2002
19,10.11,0.0,Issa AimNTHEPE,26JUN1973,FRA,12JUN2002
19,10.11,1.9,Darren CAMPBELL,12SEP1973,GBR,13JUL2002
21,10.12,1.4,Freddy MAYOLA,01NOV1977,CUB,10JUL2002
21,10.12,0.2,Pierre BROWNE,14JAN1980,CAN,27JUL2002
21,10.12,1.3,Asafa POWELL,23NOV1982,JAM,28AUG2002
24,10.13,1.1,Leonard SCOTT,19JAN1980,USA,06APR2002
24,10.13,1.6,Salem MubarakALYAMI,09FEB1982,KSA,10APR2002
24,10.13,0.6,Morne NAGEL,23MAR1978,RSA,12APR2002
24,10.13,-1.3,Stphan BUCKLAND,12JAN1977,MRI,21APR2002
24,10.13,1.8,Christopher WILLIAMS,15MAR1972,JAM,21APR2002
24,10.13,1.9,Nobuhiro TAJIMA,07NOV1980,JPN,06MAY2002
24,10.13,1.9,Jason GARDENER,18SEP1975,GBR,13JUL2002
31,10.14,0.0,Darvis PATTON,04DEC1977,USA,12JUL2002
31,10.14,1.6,Idrissa SANOU,12JUN1977,BUR,13JUL2002
33,10.15,0.5,Eric NKANSAH,12DEC1974,GHA,13JUL2002
33,10.15,0.1,Aziz ZAKARI,02SEP1976,GHA,19JUL2002
33,10.15,0.2,Dwight THOMAS,23SEP1980,JAM,27JUL2002
36,10.16,1.6,Julien DUNKLEY,20DEC1975,JAM,20APR2002
36,10.16,1.8,Dwight PHILLIPS,01OCT1977,USA,21APR2002
36,10.16,1.4,Marcus BRUNSON,24APR1978,USA,18MAY2002
36,10.16,0.0,Kaaron CONWRIGHT,08AUG1976,USA,12JUL2002
40,10.17,-0.4,Oumar LOUM,31DEC1973,SEN,27MAR2002
40,10.17,0.9,Anson HENRY,09MAR1979,CAN,21APR2002
40,10.17,0.4,Panayotis SARRIS,14SEP1975,GRE,07JUL2002
43,10.18,2.0,Taiwo AJIBADE,17JUN1983,NGR,13APR2002
43,10.18,1.8,Mickey GRIMES,10OCT1976,USA,21APR2002
43,10.18,-0.3,Gennadiy CHERNOVOL,06JUN1976,KAZ,22JUN2002
43,10.18,-0.6,Marc BURNS,07JAN1983,TTO,17JUL2002
47,10.19,1.6,Jamal AbdullahALSAFFAR,24OCT1971,KSA,10APR2002
47,10.19,1.3,Cludio RobertoSOUZA,14OCT1973,BRA,13APR2002
47,10.19,2.0,Jarmiene HOLLOWAY,06MAR1977,USA,13APR2002
47,10.19,1.6,Tim WALLS,30SEP1980,USA,20APR2002
47,10.19,1.8,Matt SHIRVINGTON,25OCT1978,AUS,11MAY2002
47,10.19,1.8,Chaz CLEMONS,29DEC1980,USA,25MAY2002
47,10.19,0.0,Joseph BATANGDON,29JUL1978,CMR,12JUN2002
54,10.2,1.7,Terrance NEWMAN,04SEP1978,USA,23MAR2002
54,10.2,-0.3,Vicente LENILSONDELIMA,04JUN1977,BRA,26MAY2002
54,10.2,1.0,Brendan CHRISTIAN,11DEC1983,ANT,08JUN2002
54,10.2,0.9,Konstantin RURAK,09APR1974,UKR,10JUN2002
54,10.2, ,Georgios THEODORIDIS,12DEC1972,GRE,22JUN2002
54,10.2,1.6,Aristotelis GAVELAS,10DEC1978,GRE,22JUN2002
54,10.2,0.7,Roland NMETH,19SEP1974,HUN,12JUL2002
54,10.2, ,Aaron ARMSTRONG,14OCT1977,TTO,14JUL2002
62,10.21,1.1,Jonathan WADE,27MAR1984,USA,04MAY2002
62,10.21,0.1,Aaron EGBELE,29JAN1979,NGR,04MAY2002
62,10.21,0.5,Michael FRATER,06OCT1982,JAM,10MAY2002
62,10.21,1.5,Erick LWILSON,20JAN1982,USA,11MAY2002
62,10.21,2.0,Willie HORDGE,09FEB1984,USA,25MAY2002
67,10.22,1.8,Gerald WILLIAMS,24FEB1978,USA,21APR2002
67,10.22,1.7,Marco TORRIERI,14MAY1978,ITA,01JUN2002
67,10.22,1.6,Fabrice CALLIGNY,07NOV1981,FRA,13JUL2002
67,10.22,0.3,Jason SMOOTS,13JUL1980,USA,09AUG2002
71,10.23,1.0,Latonel WILLIAMS,03JUN1978,JAM,16MAR2002
71,10.23, ,Tamunosiki ATORUDIBO,21MAR1985,NGR,22MAR2002
71,10.23,0.9,Anthony BUCHANAN,10SEP1981,USA,21APR2002
71,10.23,0.1,Caimin DOUGLAS,11MAY1977,NED,04MAY2002
71,10.23,1.3,Marc BLUME,28DEC1973,GER,05JUL2002
71,10.23,0.9,Ato BOLDON,30DEC1973,TTO,12JUL2002
71,10.23,1.7,usP YHNEN,05OCT1978,FIN,20JUL2002
78,10.24,0.8,Sherwin VRIES,22MAR1980,RSA,05APR2002
78,10.24,1.1,Jeffrey FOURTH,19JUN1979,USA,10APR2002
78,10.24,1.3,Christian NSIAH,25DEC1975,GHA,12APR2002
78,10.24,1.5,Brian JOHNSON,05MAR1980,USA,13APR2002
78,10.24,2.0,Kelly WILLIE,07SEP1982,USA,25MAY2002
78,10.24,0.0,Ronald POGNON,16NOV1982,FRA,12JUN2002
78,10.24,1.7,Kazuki ISHIKURA,01OCT1980,JPN,17AUG2002
85,10.25,1.9,Nikela NDEBELE,1980,ZIM,11MAY2002
85,10.25,0.5,Dion CRABBE,10MAR1977,IVB,31MAY2002
85,10.25,-0.7,Nicolas MACROZONARIS,22AUG1980,CAN,26JUN2002
88,10.26, ,Da BryanBLANTON,03JUL1984,USA,23MAR2002
88,10.26,1.1,Sean LAMBERT,16AUG1982,GRN,06APR2002
88,10.26,1.9,Andrea COLOMBO,14FEB1974,ITA,06MAY2002
88,10.26, ,Marlon BARNABY,26OCT1979,JAM,11MAY2002
88,10.26, ,Allyn CONDON,24AUG1974,GBR,18MAY2002
88,10.26,1.4,Patrik LVGREN,12OCT1975,SWE,19JUN2002
88,10.26, ,Saad FarajALSHAHWANI,20DEC1983,QAT,20JUN2002
88,10.26,1.2,Patrick JOHNSON,26SEP1972,AUS,14JUL2002
88,10.26,1.6,Shingo KAWABATA,15MAY1978,JPN,21JUL2002
