Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.74,1.7,Asafa POWELL,23NOV1982,JAM,09SEP2007
2,9.84,-0.5,Tyson GAY,09AUG1982,USA,22JUN2007
3,9.91,-0.5,Derrick ATKINS,05JAN1984,BAH,26AUG2007
4,9.93,0.0,Walter DIX,31JAN1986,USA,08JUN2007
5,9.96,0.0,Wallace SPEARMON,24DEC1984,USA,28SEP2007
6,9.99,0.9,Samuel FRANCIS,27MAR1987,QAT,26JUL2007
7,10.01,1.3,Joshua JJOHNSON,10MAY1976,USA,28JUL2007
7,10.01,1.8,Mickey GRIMES,10OCT1976,USA,28JUL2007
9,10.02,1.3,Darrel BROWN,11OCT1984,TTO,05MAY2007
9,10.02,1.8,Trindon HOLLIDAY,27APR1986,USA,06JUN2007
9,10.02,1.8,Clement CAMPBELL,19DEC1975,JAM,28JUL2007
12,10.03,0.7,Usain BOLT,21AUG1986,JAM,18JUL2007
12,10.03,0.0,Michael FRATER,06OCT1982,JAM,09SEP2007
14,10.04,1.9,J ELKS,10APR1984,USA,21JUN2007
15,10.05,1.3,Steve MULLINGS,29NOV1982,JAM,28JUL2007
16,10.06,0.9,Francis OBIKWELU,22NOV1978,POR,15JUN2007
16,10.06,1.3,Marlon DEVONISH,01JUN1976,GBR,10JUL2007
16,10.06,0.1,Churandy MARTINA,03JUL1984,AHO,23JUL2007
16,10.06,-0.3,Jaysuma SAIDYNDURE,01JUL1984,NOR,22SEP2007
20,10.07,1.9,Leroy DIXON,20JUN1983,USA,21JUN2007
20,10.07,-0.5,Olusoji AdetokunboFASUBA,09JUL1984,NGR,26AUG2007
22,10.08,1.9,Joshua ROSS,09FEB1981,AUS,10MAR2007
23,10.09,0.0,Travis PADGETT,13DEC1986,USA,08JUN2007
23,10.09,1.9,Rae MonzavousEDWARDS,07MAY1981,USA,21JUN2007
23,10.09,-1.1,Leonard SCOTT,19JAN1980,USA,22JUN2007
23,10.09,1.9,Richard THOMPSON,07JUN1985,TTO,23JUN2007
27,10.1,0.1,Julien DUNKLEY,20DEC1975,JAM,12MAY2007
27,10.1,1.9,Michael RODGERS,24APR1985,USA,21JUN2007
27,10.1,1.9,Demi OMOLE,29JUL1985,USA,21JUN2007
27,10.1,0.2,Simeon WILLIAMSON,16JAN1986,GBR,13JUL2007
31,10.11,1.2,Yohan BLAKE,26DEC1989,JAM,07APR2007
31,10.11,1.1,Darvis PATTON,04DEC1977,USA,20MAY2007
31,10.11,1.0,Nesta CARTER,10NOV1985,JAM,23JUN2007
34,10.12,1.8,Da BryanBLANTON,03JUL1984,USA,04JUL2007
35,10.13,1.3,Ivory WILLIAMS,02MAY1985,USA,05MAY2007
35,10.13,1.9,Shawn CRAWFORD,14JAN1978,USA,21JUN2007
35,10.13,1.3,Tyrone EDGAR,29MAR1982,GBR,10JUL2007
35,10.13,0.8,Matic OSOVNIKAR,19JAN1980,SLO,25AUG2007
39,10.14,0.0,Vicente LENILSONDELIMA,04JUN1977,BRA,01JUN2007
39,10.14,1.9,Preston PERRY,13SEP1983,USA,21JUN2007
39,10.14,1.9,Keston BLEDMAN,08MAR1988,TTO,23JUN2007
39,10.14,0.2,Craig PICKERING,16OCT1986,GBR,13JUL2007
39,10.14,1.0,Nobuharu ASAHARA,21JUN1972,JPN,25AUG2007
39,10.14,0.0,Simone COLLIO,27DEC1979,ITA,09SEP2007
39,10.14,1.7,Kim COLLINS,05APR1976,SKN,09SEP2007
46,10.15,1.3,Lerone CLARKE,07JUL1981,JAM,05MAY2007
46,10.15,1.3,Marvin ANDERSON,12MAY1982,JAM,05MAY2007
46,10.15,1.9,Guus HOOGMOED,27SEP1981,NED,23JUN2007
46,10.15,0.2,Dwight THOMAS,23SEP1980,JAM,28JUL2007
46,10.15,1.7,Marc BURNS,07JAN1983,TTO,09SEP2007
51,10.16,-1.5,Ernest WIGGINS,18JUN1982,USA,03MAR2007
51,10.16,1.9,John WOODS,19JUN1982,USA,21APR2007
51,10.16,2.0,Jeff LAYNES,03OCT1970,USA,28APR2007
51,10.16,0.0,Jos CarlosMOREIRA,28SEP1983,BRA,03JUN2007
51,10.16,1.6,Martial MBANDJOCK,14OCT1985,FRA,12JUL2007
51,10.16,1.0,Brendan CHRISTIAN,11DEC1983,ANT,25AUG2007
51,10.16,0.0,Rikki FIFTON,17JUN1985,GBR,28SEP2007
58,10.17,0.9,Adam MILLER,22JUN1984,AUS,10MAR2007
58,10.17,1.8,Michael LEBLANC,25FEB1987,CAN,06JUN2007
58,10.17,1.3,Patrick JOHNSON,26SEP1972,AUS,28JUL2007
58,10.17,-0.6,L EWISFRANCIS,04SEP1982,GBR,25AUG2007
62,10.18,1.7,Christopher WILLIAMS,15MAR1972,JAM,28APR2007
62,10.18,0.9,Kendall STEVENS,26JAN1983,USA,21JUN2007
62,10.18,1.9,Paul HESSION,27JAN1983,IRL,23JUN2007
62,10.18,1.6,Henry VIZCANO,16MAY1980,CUB,23JUL2007
62,10.18,1.8,ngelDavid RODRGUEZ,25APR1980,ESP,28JUL2007
67,10.19,1.8,Orlando REID,03JUL1982,JAM,06JUN2007
67,10.19,0.9,Ricardo WILLIAMS,29SEP1976,JAM,13JUN2007
67,10.19,1.9,Garry JONES,24JUL1984,USA,21JUN2007
70,10.2,1.1,Dwight PHILLIPS,01OCT1977,USA,20MAY2007
70,10.2,1.9,Carlos MOORE,08MAY1984,USA,21JUN2007
70,10.2,-0.1,Naoki TSUKAHARA,10MAY1985,JPN,25AUG2007
70,10.2,-0.6,Anson HENRY,09MAR1979,CAN,25AUG2007
74,10.21,1.5,Greg BOLDEN,30JUN1984,USA,23MAR2007
74,10.21,1.8,Chris JOHNSON,28APR1982,USA,28APR2007
74,10.21,-1.3,Terrence TRAMMELL,23NOV1978,USA,01MAY2007
74,10.21,0.5,Michael GARVIN,29SEP1986,USA,25MAY2007
74,10.21,0.9,Jordan VADEN,15SEP1978,USA,21JUN2007
79,10.22,1.1,Franklin NAZARENO,24APR1987,ECU,10MAR2007
79,10.22,1.7,Deji ALIU,22NOV1975,NGR,28APR2007
79,10.22,1.9,Kelly WILLIE,07SEP1982,USA,21JUN2007
79,10.22,-0.5,J MeeSAMUELS,20MAY1987,USA,22JUN2007
79,10.22,-0.2,Bernard WILLIAMS,19JAN1978,USA,25JUL2007
84,10.23,2.0,Kerron CLEMENT,31OCT1985,USA,14APR2007
84,10.23,1.1,Jacoby FORD,27JUL1987,USA,20APR2007
84,10.23,0.0,Uchenna EMEDOLU,17SEP1976,NGR,05MAY2007
84,10.23,0.4,Shingo SUETSUGU,02JUN1980,JPN,05MAY2007
84,10.23,0.1,Dennis BOONE,26SEP1986,USA,12MAY2007
84,10.23,-0.4,Andre STURDIVANT,05JUL1981,USA,02JUN2007
84,10.23,1.2,Rynell PARSON,11JUL1990,USA,21JUN2007
84,10.23,1.9,Kyle FARMER,15APR1983,USA,21JUN2007
84,10.23,0.0,Isaac UCHENNA,04OCT1981,NGR,04AUG2007
93,10.24,0.9,Anthony ALOZIE,18AUG1986,AUS,10MAR2007
93,10.24,0.5,Bennie ROBINSON,06JUL1982,USA,13APR2007
93,10.24,1.4,Bryan BARNETT,10FEB1987,CAN,15JUN2007
93,10.24,1.2,Scott WIMS,30MAY1988,USA,21JUN2007
93,10.24,1.5,Kaaron CONWRIGHT,08AUG1976,USA,21JUN2007
93,10.24,1.9,Mardy SCALES,10SEP1981,USA,21JUN2007
93,10.24, ,Florin SUCIU,18MAY1983,ROU,27JUL2007
93,10.24,0.6,Shigeyuki KOJIMA,25SEP1979,JPN,05AUG2007
