Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.69,0.0,Usain BOLT,21AUG1986,JAM,16AUG2008
2,9.72,0.2,Asafa POWELL,23NOV1982,JAM,02SEP2008
3,9.77,1.6,Tyson GAY,09AUG1982,USA,28JUN2008
4,9.89,1.6,Travis PADGETT,13DEC1986,USA,28JUN2008
4,9.89,1.6,Darvis PATTON,04DEC1977,USA,28JUN2008
4,9.89,0.0,Richard THOMPSON,07JUN1985,TTO,16AUG2008
7,9.91,0.0,Walter DIX,31JAN1986,USA,16AUG2008
8,9.93,0.0,Churandy MARTINA,03JUL1984,AHO,16AUG2008
9,9.94,1.6,Ivory WILLIAMS,02MAY1985,USA,28JUN2008
10,9.95,1.6,Rodney MARTIN,22DEC1982,USA,28JUN2008
11,9.97,-0.5,Marc BURNS,07JAN1983,TTO,25JUL2008
11,9.97,0.0,Michael FRATER,06OCT1982,JAM,16AUG2008
13,9.98,1.0,Nesta CARTER,10NOV1985,JAM,22JUL2008
14,9.99,1.6,J ELKS,10APR1984,USA,28JUN2008
15,10.0,0.4,Chris JOHNSON,28APR1982,USA,14JUN2008
15,10.0,1.6,Xavier CARTER,08DEC1985,USA,28JUN2008
15,10.0,1.6,Dwain CHAMBERS,05APR1978,GBR,12JUL2008
18,10.01,1.4,Jaysuma SAIDYNDURE,01JUL1984,NOR,09MAY2008
18,10.01,1.6,Jeff DEMPS,08JAN1990,USA,28JUN2008
20,10.02,1.4,Darrel BROWN,11OCT1984,TTO,09MAY2008
20,10.02,1.6,Leroy DIXON,20JUN1983,USA,28JUN2008
20,10.02,0.0,Derrick ATKINS,05JAN1984,BAH,29JUL2008
23,10.03,0.6,Samuel FRANCIS,27MAR1987,QAT,30JUN2008
23,10.03,1.6,Simeon WILLIAMSON,16JAN1986,GBR,12JUL2008
25,10.04,1.0,Preston PERRY,13SEP1983,USA,24MAY2008
25,10.04,0.2,Francis OBIKWELU,22NOV1978,POR,11JUL2008
27,10.05,-0.1,Trindon HOLLIDAY,27APR1986,USA,18MAY2008
27,10.05,-0.1,Kim COLLINS,05APR1976,SKN,16AUG2008
29,10.06,1.4,Michael RODGERS,24APR1985,USA,10MAY2008
29,10.06,0.7,Tyrone EDGAR,29MAR1982,GBR,31MAY2008
29,10.06,1.6,John CAPEL,27OCT1978,USA,28JUN2008
29,10.06,1.6,Rae MonzavousEDWARDS,07MAY1981,USA,28JUN2008
29,10.06,1.7,Martial MBANDJOCK,14OCT1985,FRA,25JUL2008
34,10.07,1.0,Julien DUNKLEY,20DEC1975,JAM,24MAY2008
34,10.07,1.6,Wallace SPEARMON,24DEC1984,USA,28JUN2008
36,10.08,1.9,J MeeSAMUELS,20MAY1987,USA,31MAY2008
36,10.08,1.9,Evander WELLS,07DEC1987,USA,31MAY2008
38,10.09,1.6,Shawn CRAWFORD,14JAN1978,USA,28JUN2008
39,10.1,1.2,Olusoji AdetokunboFASUBA,09JUL1984,NGR,01MAY2008
39,10.1,1.0,Carlos MOORE,08MAY1984,USA,24MAY2008
39,10.1,0.8,Aaron ARMSTRONG,14OCT1977,TTO,21JUN2008
39,10.1,1.4,Ronald POGNON,16NOV1982,FRA,07SEP2008
39,10.1,1.4,Harry AIKINESARYEETEY,29AUG1988,GBR,07SEP2008
44,10.11,1.4,Mardy SCALES,10SEP1981,USA,10MAY2008
44,10.11,0.0,Brendan CHRISTIAN,11DEC1983,ANT,17MAY2008
44,10.11,-0.1,Marvin ANDERSON,12MAY1982,JAM,28JUN2008
47,10.12,1.8,Daniel BAILEY,09SEP1986,ANT,03MAY2008
47,10.12,1.9,Rubin WILLIAMS,09JUL1983,USA,31MAY2008
47,10.12,1.6,Christopher HARGRETT,02AUG1984,USA,28JUN2008
47,10.12,1.6,Kendall STEVENS,26JAN1983,USA,28JUN2008
51,10.13,-0.1,Fabio CERUTTI,26SEP1985,ITA,19JUL2008
52,10.14,0.7,Adetoye DUROTOYE,08MAY1986,NGR,23JUN2008
52,10.14,1.7,ngelDavid RODRGUEZ,25APR1980,ESP,02JUL2008
52,10.14,1.4,Ainsley WAUGH,17SEP1981,JAM,07SEP2008
55,10.15,1.8,Jared CONNAUGHTON,20JUL1985,CAN,03MAY2008
55,10.15,1.3,Aziz ZAKARI,02SEP1976,GHA,30AUG2008
55,10.15,0.9,Craig PICKERING,16OCT1986,GBR,07SEP2008
58,10.16,1.9,Teddy WILLIAMS,03JUL1988,USA,10MAY2008
58,10.16,0.0,Andrew HINDS,25APR1984,BAR,14MAY2008
58,10.16,0.4,Desmond BYNUM,09SEP1980,USA,14JUN2008
58,10.16,1.0,Matic OSOVNIKAR,19JAN1980,SLO,19JUL2008
58,10.16,0.8,Joseph ObinnaMETU,12JUL1988,NGR,30JUL2008
58,10.16,0.3,Naoki TSUKAHARA,10MAY1985,JPN,16AUG2008
64,10.17,0.6,Nobuharu ASAHARA,21JUN1972,JPN,29APR2008
64,10.17,-0.1,Jeremy HALL,27JAN1988,USA,18MAY2008
64,10.17,0.1,Tobias UNGER,10JUL1979,GER,08JUN2008
64,10.17,0.0,Emmanuel CALLENDER,10MAY1984,TTO,29AUG2008
