Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.74,0.9,Justin GATLIN,10FEB1982,USA,15MAY2015
2,9.79,-0.5,Usain BOLT,21AUG1986,JAM,23AUG2015
3,9.81,1.3,Asafa POWELL,23NOV1982,JAM,04JUL2015
4,9.84,1.3,Trayvon BROMELL,10JUL1995,USA,25JUN2015
5,9.86,1.1,Keston BLEDMAN,08MAR1988,TTO,27JUN2015
5,9.86,1.3,Jimmy VICAUT,27FEB1992,FRA,04JUL2015
5,9.86,0.9,Michael RODGERS,24APR1985,USA,23AUG2015
8,9.87,0.0,Tyson GAY,09AUG1982,USA,26JUN2015
9,9.91,1.8,Femi OGUNODE,15MAY1991,QAT,04JUN2015
9,9.91,0.9,Nickel ASHMEADE,07APR1990,JAM,26JUN2015
11,9.92,-0.8,Kemar BAILEYCOLE,10JAN1992,JAM,24JUL2015
11,9.92,-0.5,Andre DEGRASSE,10NOV1994,CAN,23AUG2015
13,9.93,1.7,Clayton VAUGHN,15MAY1992,USA,08MAY2015
13,9.93,1.8,Ryan BAILEY,13APR1989,USA,09MAY2015
13,9.93,2.0,Marvin BRACY,15DEC1993,USA,07JUN2015
16,9.94,1.7,Diondre BATSON,13JUL1992,USA,25JUN2015
16,9.94,1.4,Andrew FISHER,15DEC1991,JAM,11JUL2015
18,9.96,1.3,Quentin BUTLER,18SEP1992,USA,25JUN2015
18,9.96,-0.8,Chijindu UJAH,05MAR1994,GBR,24JUL2015
20,9.97,2.0,Adam GEMILI,06OCT1993,GBR,07JUN2015
20,9.97,0.8,Henrico BRUINTJIES,16JUL1993,RSA,05JUL2015
20,9.97,0.0,Akani SIMBINE,21SEP1993,RSA,09JUL2015
23,9.98,1.8,Nesta CARTER,10NOV1985,JAM,09MAY2015
23,9.98,1.8,Kim COLLINS,05APR1976,SKN,13JUN2015
25,9.99,1.6,Bryce ROBINSON,13NOV1993,USA,16MAY2015
25,9.99,1.5,Bingtian SU,29AUG1989,CHN,30MAY2015
25,9.99,1.7,Beejay LEE,05MAR1993,USA,25JUN2015
28,10.0,0.0,Isiah YOUNG,05JAN1990,USA,26JUN2015
29,10.01,1.7,Sean MCLEAN,23MAR1992,USA,25JUN2015
29,10.01,-0.2,Jak AliHARVEY,04MAY1989,TUR,04SEP2015
31,10.02,1.7,Charles SILMON,04JUL1991,USA,25JUN2015
31,10.02,-0.3,Ramon GITTENS,20JUL1987,BAR,22AUG2015
33,10.03,0.9,Senoj JayGIVANS,30DEC1993,JAM,10JUN2015
33,10.03,1.8,Antoine ADAMS,31AUG1988,SKN,13JUN2015
35,10.04,1.0,Richard THOMPSON,07JUN1985,TTO,18APR2015
35,10.04,1.5,Calesio NEWMAN,20AUG1986,USA,17MAY2015
35,10.04,1.7,Jarrion LAWSON,06MAY1994,USA,10JUN2015
35,10.04,1.4,Kolby LISTENBEE,25JAN1994,USA,10JUN2015
35,10.04,1.4,Ameer WEBB,19MAR1991,USA,11JUL2015
35,10.04,-2.1,Ben YoussefMEIT,11NOV1986,CIV,14SEP2015
41,10.05,1.8,Ronnie BAKER,15OCT1993,USA,16MAY2015
41,10.05,1.8,Tevin HESTER,10JAN1994,USA,28MAY2015
41,10.05,2.0,Richard KILTY,02SEP1989,GBR,07JUN2015
44,10.06,1.9,Julian FORTE,07JAN1993,JAM,07JUN2015
