Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.79,-0.3,Christian COLEMAN,06MAR1996,USA,31AUG2018
2,9.87,-0.1,Ronnie BAKER,15OCT1993,USA,22AUG2018
3,9.88,1.1,Noah LYLES,18JUL1997,USA,22JUN2018
4,9.89,1.4,Michael RODGERS,24APR1985,USA,21JUN2018
5,9.91,0.4,Zharnel HUGHES,13JUL1995,GBR,09JUN2018
5,9.91,0.2,Bingtian SU,29AUG1989,CHN,22JUN2018
5,9.91,0.8,Jimmy VICAUT,27FEB1992,FRA,30JUN2018
8,9.92,0.7,Isiah YOUNG,05JAN1990,USA,09JUN2018
9,9.93,1.4,Cameron BURRELL,11SEP1994,USA,21JUN2018
9,9.93,0.2,Akani SIMBINE,21SEP1993,RSA,21JUL2018
11,9.94,-0.2,Arthur CISS,29DEC1996,CIV,16JUN2018
11,9.94,-0.5,Reece PRESCOD,29FEB1996,GBR,18AUG2018
11,9.94,-0.3,Yohan BLAKE,26DEC1989,JAM,31AUG2018
14,9.96,0.2,Tyquendo TRACEY,10JUN1993,JAM,21JUL2018
15,9.97,0.9,Jaylen BACON,05AUG1996,USA,25MAY2018
15,9.97,0.9,Zhenye XIE,17AUG1993,CHN,19JUN2018
15,9.97,1.7,Barakat ALHARTHI,15JUN1988,OMA,09JUL2018
18,9.98,1.9,Andre EWERS,07JUN1995,JAM,25MAY2018
19,9.99,1.1,Kendal WILLIAMS,23SEP1995,USA,13MAY2018
19,9.99,0.2,Filippo TORTU,15JUN1998,ITA,22JUN2018
19,9.99,0.4,Jak AliHARVEY,04MAY1989,TUR,18JUL2018
22,10.0,0.5,Cejhae GREENE,06OCT1995,ANT,29JUL2018
22,10.0,0.8,Tosin OGUNODE,02MAR1994,QAT,26AUG2018
22,10.0,0.8,Ryota YAMAGATA,10JUN1992,JPN,26AUG2018
25,10.01,1.4,Gavin SMELLIE,26JUN1986,CAN,19MAY2018
25,10.01,1.7,Bryce ROBINSON,13NOV1993,USA,31MAY2018
25,10.01,-0.7,Alonso EDWARD,08DEC1989,PAN,06JUN2018
25,10.01,0.2,Emile ERASMUS,03APR1992,RSA,01JUL2018
29,10.02,1.9,Jeff DEMPS,08JAN1990,USA,21JUN2018
29,10.02,-0.6,Paulo AndrCAMILODEOLIVEIRA,20AUG1998,BRA,14SEP2018
31,10.03,-0.7,Justin GATLIN,10FEB1982,USA,13JUN2018
31,10.03,1.2,Abdullah AbkarMOHAMMED,01JAN1997,KSA,30JUN2018
31,10.03,1.2,Hassan TAFTIAN,04MAY1993,IRI,30JUN2018
31,10.03,0.5,Mario BURKE,18MAR1997,BAR,29JUL2018
35,10.04,1.7,Ojie EURUN,02JUN1996,GBR,04JUN2018
36,10.05,0.5,Jason ROGERS,31AUG1991,SKN,29JUL2018
37,10.06,1.7,Roscoe ENGEL,06MAR1989,RSA,15MAR2018
37,10.06,1.1,Sydney SIAME,07OCT1997,ZAM,29JUN2018
37,10.06,0.0,Chijindu UJAH,05MAR1994,GBR,07AUG2018
40,10.07,-1.3,Simon MAGAKWE,14MAY1986,RSA,16MAR2018
40,10.07,1.9,Mc KinleyWEST, ,USA,25MAY2018
40,10.07,1.1,Amaury GOLITIN,28JAN1997,FRA,09JUN2018
40,10.07,1.2,Ameer WEBB,19MAR1991,USA,28JUL2018
40,10.07,1.7,Nesta CARTER,10NOV1985,JAM,30JUL2018
45,10.08,2.0,Nethaneel MITCHELLBLAKE,02APR1994,GBR,21APR2018
45,10.08,0.7,Lamont MarcellJACOBS,26SEP1994,ITA,23MAY2018
45,10.08,1.7,Emre ZaferBARNES,07NOV1988,TUR,04JUN2018
45,10.08,0.5,Javoy TUCKER,13MAY1997,JAM,29JUL2018
45,10.08,0.3,Jorge VIDES,24NOV1992,BRA,18AUG2018
50,10.09,1.9,Darryl HARAWAY,20MAR1997,USA,25MAY2018
50,10.09,0.9,Anthony SCHWARTZ,05SEP2000,USA,02JUN2018
50,10.09,-0.7,Alex QUINEZ,11AUG1989,ECU,06JUN2018
50,10.09,1.4,Aleixo PlatiniMENGA,29SEP1987,GER,06JUL2018
54,10.1,0.4,Trae WILLIAMS,05MAY1997,AUS,16FEB2018
54,10.1,1.9,Clarence MUNYAI,20FEB1998,RSA,24FEB2018
54,10.1,-0.2,Henrico BRUINTJIES,16JUL1993,RSA,15MAR2018
54,10.1,0.3,Kemar HYMAN,11OCT1989,CAY,08APR2018
54,10.1,1.4,Divine ODUDURU,07OCT1996,NGR,21APR2018
54,10.1,1.1,Raheem CHAMBERS,06OCT1997,JAM,13MAY2018
54,10.1,1.2,Waseem WILLIAMS,08JAN1997,JAM,13MAY2018
54,10.1,1.1,Ramil GULIYEV,29MAY1990,TUR,19MAY2018
54,10.1,-0.9,Elijah HALLTHOMPSON,22AUG1994,USA,06JUN2018
54,10.1,0.1,Jevaughn MINZIE,20JUL1995,JAM,09JUN2018
54,10.1,0.2,Derick SILVA,23APR1998,BRA,06JUL2018
54,10.1,0.4,Yoshihide KIRYU,15DEC1995,JPN,18JUL2018
66,10.11,1.7,Thando DLODLO,22APR1999,RSA,15MAR2018
66,10.11,-0.3,Adam GEMILI,06OCT1993,GBR,08APR2018
66,10.11,1.9,Tyson GAY,09AUG1982,USA,12MAY2018
66,10.11,0.7,Tevin HESTER,10JAN1994,USA,09JUN2018
66,10.11,0.2,Chun HanYANG,01JAN1997,TPE,15JUN2018
66,10.11,0.1,Kenroy ANDERSON,27JUN1987,JAM,21JUN2018
66,10.11,0.0,Julian FORTE,07JAN1993,JAM,21JUN2018
66,10.11,1.1,Christopher TAYLOR,01OCT1999,JAM,30JUN2018
74,10.12,0.9,Keitavious WALTER,16APR1996,USA,13APR2018
74,10.12,1.0,Devin QUINN,08JUN1996,USA,21APR2018
74,10.12,0.0,Aaron BROWN,27MAY1992,CAN,28APR2018
74,10.12,-0.3,Micah LARKINS,08DEC1994,USA,06MAY2018
74,10.12,1.3,Maxwell WILLIS,02SEP1998,USA,12MAY2018
74,10.12,1.8,Julius MORRIS,14APR1994,MNT,12MAY2018
74,10.12,1.1,Mustaqeem WILLIAMS,24AUG1995,USA,13MAY2018
74,10.12,1.3,Cravon GILLESPIE,31JUL1996,USA,24MAY2018
74,10.12,0.9,Aska CAMBRIDGE,31MAY1993,JPN,03JUN2018
74,10.12,-0.7,Vitor HugoDOSSANTOS,01FEB1996,BRA,06JUN2018
74,10.12,1.9,Chris JEFFERSON, ,USA,21JUN2018
74,10.12,0.2,Kemar BAILEYCOLE,10JAN1992,JAM,06JUL2018
86,10.13,1.1,Reynier MENA,21NOV1996,CUB,14MAR2018
86,10.13,0.4,Senoj JayGIVANS,30DEC1993,JAM,09JUN2018
86,10.13,1.0,Carlos NASCIMENTO,12OCT1994,POR,20JUN2018
86,10.13,1.9,Cordero GRAY,09MAY1989,USA,21JUN2018
86,10.13,1.9,Remontay MCCLAIN,21SEP1992,USA,21JUN2018
86,10.13,1.4,Kenzo COTTON,13MAY1996,USA,21JUN2018
86,10.13,1.1,Jn VOLKO,02NOV1996,SVK,29JUN2018
86,10.13,1.1,Mouhamadou FALL,25FEB1992,FRA,06JUL2018
94,10.14,1.9,Bismark BOATENG,15MAR1992,CAN,28APR2018
94,10.14,0.3,Ben YoussefMEIT,11NOV1986,CIV,16JUN2018
94,10.14,1.0,Rodrigo DONASCIMENTO,26SEP1994,BRA,20JUN2018
94,10.14,1.4,Riak REESE,23NOV1994,USA,21JUN2018
94,10.14,1.1,Alex WILSON,19SEP1990,SUI,13JUL2018
94,10.14,1.5,Takuya NAGATA,14JUN1994,JPN,21JUL2018
100,10.15,1.9,Andre DEGRASSE,10NOV1994,CAN,28APR2018
