Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.82,1.3,Christian COLEMAN,06MAR1996,USA,07JUN2017
2,9.9,0.9,Yohan BLAKE,26DEC1989,JAM,23JUN2017
3,9.91,1.0,Julian FORTE,07JAN1993,JAM,27AUG2017
4,9.92,1.2,Akani SIMBINE,21SEP1993,RSA,18MAR2017
4,9.92,-0.8,Justin GATLIN,10FEB1982,USA,05AUG2017
6,9.93,0.8,Cameron BURRELL,11SEP1994,USA,07JUN2017
6,9.93,1.6,Christopher BELCHER,29JAN1994,USA,07JUN2017
8,9.94,0.9,Wayde VANNIEKERK,15JUL1992,RSA,20JUN2017
9,9.95,1.2,Thando ROTO,26SEP1995,RSA,18MAR2017
9,9.95,0.7,Usain BOLT,21AUG1986,JAM,21JUL2017
11,9.97,0.5,Jimmy VICAUT,27FEB1992,FRA,21MAY2017
11,9.97,1.5,Isiah YOUNG,05JAN1990,USA,22JUN2017
11,9.97,1.5,Ramil GULIYEV,29MAY1990,TUR,06JUL2017
11,9.97,0.0,Chijindu UJAH,05MAR1994,GBR,24AUG2017
11,9.97,0.0,Ben YoussefMEIT,11NOV1986,CIV,24AUG2017
16,9.98,2.0,Odean SKEEN,28AUG1994,JAM,22APR2017
16,9.98,0.4,Ronnie BAKER,15OCT1993,USA,20MAY2017
16,9.98,1.8,Yoshihide KIRYU,15DEC1995,JPN,09SEP2017
19,9.99,0.6,Nethaneel MITCHELLBLAKE,02APR1994,GBR,13MAY2017
20,10.0,2.0,Jaylen BACON,05AUG1996,USA,13MAY2017
20,10.0,1.3,Kyree KING,09JUL1994,USA,07JUN2017
20,10.0,1.2,Michael RODGERS,24APR1985,USA,22JUN2017
20,10.0,2.0,Yunier PREZ,16FEB1985,CUB,14JUL2017
20,10.0,0.2,Ryota YAMAGATA,10JUN1992,JPN,24SEP2017
25,10.01,0.2,Andre DEGRASSE,10NOV1994,CAN,15JUN2017
26,10.02,1.6,Senoj JayGIVANS,30DEC1993,JAM,07JUN2017
27,10.03,0.2,Jeff DEMPS,08JAN1990,USA,22JUN2017
27,10.03,1.5,Jarrion LAWSON,06MAY1994,USA,22JUN2017
27,10.03,0.0,Reece PRESCOD,29FEB1996,GBR,04AUG2017
27,10.03,-0.2,Bingtian SU,29AUG1989,CHN,04AUG2017
31,10.04,2.0,Clayton VAUGHN,15MAY1992,USA,15APR2017
31,10.04,0.3,Zhenye XIE,17AUG1993,CHN,03SEP2017
33,10.05,0.8,Cejhae GREENE,06OCT1995,ANT,07JUN2017
33,10.05,1.2,Beejay LEE,05MAR1993,USA,22JUN2017
33,10.05,0.6,Abdul HakimSANIBROWN,06MAR1999,JPN,24JUN2017
33,10.05,2.0,David LIMA,06SEP1990,POR,14JUL2017
37,10.06,0.4,Kemar BAILEYCOLE,10JAN1992,JAM,11MAR2017
37,10.06,1.4,Kendal WILLIAMS,23SEP1995,USA,30MAR2017
37,10.06,1.3,Brandon CARNES,06MAR1995,USA,22APR2017
37,10.06,1.5,Henrico BRUINTJIES,16JUL1993,RSA,13JUN2017
37,10.06,0.3,James DASAOLU,05SEP1987,GBR,09JUL2017
37,10.06,0.5,Jak AliHARVEY,04MAY1989,TUR,09SEP2017
43,10.07,-0.4,Marqueze WASHINGTON,29SEP1993,USA,10JUN2017
