Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.63,1.5,Usain BOLT,21AUG1986,JAM,05AUG2012
2,9.69,-0.1,Yohan BLAKE,26DEC1989,JAM,23AUG2012
3,9.79,1.5,Justin GATLIN,10FEB1982,USA,05AUG2012
4,9.85,0.6,Asafa POWELL,23NOV1982,JAM,07JUN2012
5,9.86,1.4,Keston BLEDMAN,08MAR1988,TTO,23JUN2012
5,9.86,1.8,Tyson GAY,09AUG1982,USA,24JUN2012
7,9.88,1.5,Ryan BAILEY,13APR1989,USA,04AUG2012
8,9.91,0.7,Churandy MARTINA,03JUL1984,NED,05AUG2012
9,9.93,1.3,Nickel ASHMEADE,07APR1990,JAM,02JUN2012
10,9.94,1.8,Michael RODGERS,24APR1985,USA,24JUN2012
10,9.94,1.1,Michael FRATER,06OCT1982,JAM,29JUN2012
12,9.95,1.5,Nesta CARTER,10NOV1985,JAM,29JUN2012
12,9.95,1.8,Kemar HYMAN,11OCT1989,CAY,07JUL2012
14,9.96,1.4,Harry ADAMS,27NOV1989,USA,06JUN2012
14,9.96,1.4,Richard THOMPSON,07JUN1985,TTO,23JUN2012
14,9.96,1.8,Darvis PATTON,04DEC1977,USA,24JUN2012
17,9.97,0.3,Kemar BAILEYCOLE,10JAN1992,JAM,07SEP2012
18,9.98,1.0,Rakieem SALAAM,05APR1990,USA,21APR2012
19,9.99,0.4,Lerone CLARKE,07JUL1981,JAM,11MAY2012
20,10.0,1.6,Marc BURNS,07JAN1983,TTO,17JUL2012
21,10.01,1.4,Kim COLLINS,05APR1976,SKN,30AUG2012
22,10.02,1.4,Andrew RILEY,06SEP1988,JAM,06JUN2012
22,10.02,1.8,Trell KIMMONS,13JUL1985,USA,24JUN2012
22,10.02,2.0,Dwain CHAMBERS,05APR1978,GBR,04AUG2012
22,10.02,-0.1,Jimmy VICAUT,27FEB1992,FRA,23AUG2012
26,10.03,1.3,Maurice MITCHELL,22DEC1989,USA,06JUN2012
26,10.03,0.7,Walter DIX,31JAN1986,USA,23JUN2012
26,10.03,1.4,Rondel SORRILLO,21JAN1986,TTO,23JUN2012
29,10.04,0.5,Travis PADGETT,13DEC1986,USA,26MAY2012
29,10.04,-0.1,Christophe LEMAITRE,11JUN1990,FRA,31MAY2012
31,10.05,1.4,Charles SILMON,04JUL1991,USA,06JUN2012
31,10.05,0.1,Adam GEMILI,06OCT1993,GBR,11JUL2012
33,10.06,1.8,Simon MAGAKWE,14MAY1986,RSA,27APR2012
33,10.06,0.9,Jason ROGERS,31AUG1991,SKN,06JUL2012
33,10.06,1.0,Jason YOUNG,21MAR1991,JAM,17JUL2012
33,10.06,1.5,Ben YoussefMEIT,11NOV1986,CIV,04AUG2012
37,10.07,0.4,Calesio NEWMAN,20AUG1986,USA,19MAY2012
37,10.07,1.5,Emmanuel CALLENDER,10MAY1984,TTO,20MAY2012
37,10.07,1.3,Ryota YAMAGATA,10JUN1992,JPN,04AUG2012
40,10.08,1.0,Jak AliHARVEY,04MAY1989,JAM,29JUN2012
40,10.08,1.7,Derrick ATKINS,05JAN1984,BAH,05AUG2012
42,10.09,1.0,Keenan BROCK,01JUN1992,USA,21APR2012
42,10.09,1.4,Isiah YOUNG,05JAN1990,USA,06JUN2012
42,10.09,1.3,Marcus ROWLAND,11MAR1990,USA,06JUN2012
42,10.09,0.7,Julian REUS,29APR1988,GER,27JUL2012
42,10.09,1.5,Justyn WARNER,28JUN1987,CAN,04AUG2012
47,10.1,1.8,Daniel BAILEY,09SEP1986,ANT,05MAY2012
47,10.1,1.5,Ramone MCKENZIE,15NOV1990,JAM,19MAY2012
47,10.1,1.0,Antoine ADAMS,31AUG1988,SKN,03JUN2012
47,10.1,1.4,Aziz OUHADI,24JUL1984,MAR,10JUN2012
47,10.1,1.4,Jeff DEMPS,08JAN1990,USA,24JUN2012
52,10.11,1.5,Cordero GRAY,09MAY1989,USA,19MAY2012
52,10.11,1.3,Prezel HARDY,01JUN1992,USA,06JUN2012
52,10.11,0.8,Joseph ObinnaMETU,12JUL1988,NGR,22JUN2012
52,10.11,1.9,Mario FORSYTHE,30OCT1985,JAM,21JUL2012
52,10.11,1.0,Gerald PHIRI,06OCT1988,ZAM,05AUG2012
57,10.12,1.2,Brijesh LAWRENCE,27DEC1989,SKN,21APR2012
57,10.12,1.5,Oshane BAILEY,08SEP1989,JAM,19MAY2012
59,10.13,1.1,Jaysuma SAIDYNDURE,01JUL1984,NOR,27JUN2012
59,10.13,0.4,James DASAOLU,05SEP1987,GBR,04AUG2012
61,10.14,1.0,Sheldon MITCHELL,19JUL1990,JAM,05MAY2012
61,10.14,1.3,Gavin SMELLIE,26JUN1986,CAN,27JUL2012
63,10.15,1.8,Dexter LEE,18JAN1991,JAM,05MAY2012
63,10.15,1.5,Zye BOEY,08MAY1989,USA,25MAY2012
63,10.15,1.2,Darrell WESH,21FEB1992,USA,06JUN2012
63,10.15,0.8,Rytis SAKALAUSKAS,27JUN1987,LTU,08JUN2012
67,10.17,0.2,Michael GRANGER,17MAR1991,USA,14APR2012
67,10.17,1.9,Mickey GRIMES,10OCT1976,USA,20APR2012
67,10.17,-0.6,Nicholas WATSON,16SEP1989,JAM,19MAY2012
67,10.17,1.7,Ameer WEBB,19MAR1991,USA,24MAY2012
67,10.17,1.2,Aaron ERNEST,08NOV1993,USA,06JUN2012
67,10.17,1.8,ngelDavid RODRGUEZ,25APR1980,ESP,09JUN2012
67,10.17,1.6,Philippe DEROSIER,11APR1984,USA,23JUN2012
67,10.17,1.4,Jamol JAMES,16JUL1992,TTO,23JUN2012
75,10.18,1.3,Masashi ERIGUCHI,17DEC1988,JPN,29APR2012
75,10.18,2.0,Aaron BROWN,27MAY1992,CAN,13MAY2012
75,10.18,1.5,Dentarius LOCKE,12DEC1989,USA,19MAY2012
75,10.18,1.2,Warren FRASER,08JUL1991,BAH,06JUN2012
75,10.18,1.3,Everett WALKER,03OCT1990,USA,06JUN2012
75,10.18,0.7,Suwaibou SANNEH,10MAR1990,GAM,05AUG2012
81,10.19,1.5,Marek NIIT,09AUG1987,EST,31MAR2012
81,10.19,1.3,Abraham HALL,1993,USA,12MAY2012
81,10.19,1.7,Tyreek HILL,01MAR1994,USA,26MAY2012
81,10.19,0.1,Julian FORTE,07JAN1993,JAM,26MAY2012
81,10.19,-0.1,Aleksandr BREDNEV,04FEB1988,RUS,17JUN2012
81,10.19,0.8,Ogho OgheneEGWERO,26NOV1988,NGR,22JUN2012
81,10.19,0.0,Jeremy BASCOM,15OCT1983,GUY,06JUL2012
81,10.19,1.0,Jared CONNAUGHTON,20JUL1985,CAN,14JUL2012
81,10.19,1.3,Bingtian SU,29AUG1989,CHN,04AUG2012
81,10.19,0.5,Yoshihide KIRYU,15DEC1995,JPN,03NOV2012
81,10.19,1.3,Akani SIMBINE,21SEP1993,RSA,11DEC2012
92,10.2,0.9,Roscoe ENGEL,06MAR1989,RSA,14APR2012
92,10.2,1.0,Kimmari ROACH,17APR1989,JAM,05MAY2012
92,10.2,0.4,Ivory WILLIAMS,02MAY1985,USA,19MAY2012
92,10.2,0.8,Patrick IkeCHINEDU,26APR1984,NGR,02JUN2012
92,10.2,0.3,Dariusz KUĆ,24APR1986,POL,15JUN2012
92,10.2,1.5,Lucas JAKUBCZYK,28APR1985,GER,16JUN2012
92,10.2,0.1,Rodney GREEN,08DEC1985,BAH,22JUN2012
92,10.2,1.0,Ian WARNER,15MAY1990,CAN,29JUN2012
92,10.2,0.0,Kenroy ANDERSON,27JUN1987,JAM,18JUL2012
