Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.77,-0.3,Usain BOLT,21AUG1986,JAM,11AUG2013
2,9.85,-0.3,Justin GATLIN,10FEB1982,USA,11AUG2013
3,9.87,1.8,Nesta CARTER,10NOV1985,JAM,13JUL2013
4,9.9,0.4,Nickel ASHMEADE,07APR1990,JAM,11AUG2013
4,9.9,0.6,Michael RODGERS,24APR1985,USA,06SEP2013
6,9.91,1.1,James DASAOLU,05SEP1987,GBR,13JUL2013
7,9.93,0.4,Kemar BAILEYCOLE,10JAN1992,JAM,11AUG2013
8,9.95,0.3,Jimmy VICAUT,27FEB1992,FRA,13JUL2013
9,9.96,-0.4,Dentarius LOCKE,12DEC1989,USA,19JUL2013
10,9.97,2.0,Kim COLLINS,05APR1976,SKN,04JUL2013
11,9.98,1.9,Gabriel MVUMVURE,23FEB1988,ZIM,08JUN2013
11,9.98,1.1,Charles SILMON,04JUL1991,USA,21JUN2013
13,9.99,0.3,Isiah YOUNG,05JAN1990,USA,23MAY2013
13,9.99,0.7,Walter DIX,31JAN1986,USA,08SEP2013
15,10.0,0.4,Christophe LEMAITRE,11JUN1990,FRA,11AUG2013
15,10.0,0.4,Peimeng ZHANG,13MAR1987,CHN,11AUG2013
17,10.01,0.9,Yoshihide KIRYU,15DEC1995,JPN,28APR2013
17,10.01,2.0,Antoine ADAMS,31AUG1988,SKN,16JUN2013
17,10.01,2.0,Jason ROGERS,31AUG1991,SKN,16JUN2013
17,10.01,1.1,Rakieem SALAAM,05APR1990,USA,21JUN2013
21,10.02,1.9,Ramon GITTENS,20JUL1987,BAR,08JUN2013
21,10.02,1.5,Warren WEIR,31OCT1989,JAM,08JUN2013
21,10.02,2.0,Kemar HYMAN,11OCT1989,CAY,07JUL2013
21,10.02,-0.3,Keston BLEDMAN,08MAR1988,TTO,10AUG2013
25,10.03,1.7,Churandy MARTINA,03JUL1984,NED,04JUL2013
26,10.04,1.9,Dwain CHAMBERS,05APR1978,GBR,13JUL2013
26,10.04,1.7,Jak AliHARVEY,04MAY1989,JAM,24AUG2013
28,10.05,1.9,Aaron BROWN,27MAY1992,CAN,05JUN2013
29,10.06,1.9,Diondre BATSON,13JUL1992,USA,13APR2013
29,10.06,0.1,Bingtian SU,29AUG1989,CHN,21MAY2013
29,10.06,1.9,Derrick ATKINS,05JAN1984,BAH,08JUN2013
29,10.06,-0.3,Adam GEMILI,06OCT1993,GBR,29AUG2013
33,10.07,0.2,Darvis PATTON,04DEC1977,USA,04MAY2013
33,10.07,1.6,Beejay LEE,05MAR1993,USA,12MAY2013
33,10.07,0.5,Jason LIVERMORE,25APR1988,JAM,20JUN2013
33,10.07,1.7,Andrew FISHER,15DEC1991,JAM,05JUL2013
33,10.07,0.0,Jaysuma SAIDYNDURE,01JUL1984,NOR,17JUL2013
33,10.07,1.0,Martin KELLER,26SEP1986,GER,02AUG2013
39,10.08,1.2,Samuel FRANCIS,27MAR1987,QAT,10MAY2013
39,10.08,0.1,Calesio NEWMAN,20AUG1986,USA,21MAY2013
