Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.78,-0.4,Tyson GAY,09AUG1982,USA,13AUG2010
1,9.78,0.9,Nesta CARTER,10NOV1985,JAM,29AUG2010
3,9.82,0.6,Asafa POWELL,23NOV1982,JAM,10JUN2010
3,9.82,0.5,Usain BOLT,21AUG1986,JAM,08JUL2010
5,9.88,1.0,Walter DIX,31JAN1986,USA,08AUG2010
5,9.88,0.9,Ryan BAILEY,13APR1989,USA,29AUG2010
7,9.89,-0.4,Yohan BLAKE,26DEC1989,JAM,13AUG2010
8,9.95,0.8,Ivory WILLIAMS,02MAY1985,USA,17APR2010
8,9.95,-0.8,Trell KIMMONS,13JUL1985,USA,19AUG2010
8,9.95,0.9,Mario FORSYTHE,30OCT1985,JAM,29AUG2010
11,9.97,0.9,Christophe LEMAITRE,11JUN1990,FRA,29AUG2010
12,9.98,0.9,Michael FRATER,06OCT1982,JAM,29AUG2010
13,9.99,1.1,Dwain CHAMBERS,05APR1978,GBR,19JUN2010
14,10.0,1.4,Rae MonzavousEDWARDS,07MAY1981,USA,12JUN2010
14,10.0,-0.1,Daniel BAILEY,09SEP1986,ANT,30JUN2010
14,10.0,0.9,Michael RODGERS,24APR1985,USA,29AUG2010
14,10.0,0.9,Jaysuma SAIDYNDURE,01JUL1984,NOR,29AUG2010
18,10.01,1.4,Keston BLEDMAN,08MAR1988,TTO,12JUN2010
18,10.01,0.7,Richard THOMPSON,07JUN1985,TTO,26JUN2010
20,10.03,1.6,Churandy MARTINA,03JUL1984,AHO,10APR2010
20,10.03,1.2,Steve MULLINGS,29NOV1982,JAM,15JUL2010
20,10.03,1.0,J MeeSAMUELS,20MAY1987,USA,08AUG2010
23,10.06,1.3,Jeff DEMPS,08JAN1990,USA,16MAY2010
23,10.06,1.7,Sam EFFAH,29DEC1988,CAN,09JUL2010
25,10.08,1.3,Martial MBANDJOCK,14OCT1985,FRA,09JUL2010
25,10.08,1.9,Ben YoussefMEIT,11NOV1986,CIV,29JUL2010
27,10.09,0.9,Justin GATLIN,10FEB1982,USA,31AUG2010
28,10.1,1.2,Lerone CLARKE,07JUL1981,JAM,04JUN2010
28,10.1,0.8,Travis PADGETT,13DEC1986,USA,13JUL2010
28,10.1,0.0,Ogho OgheneEGWERO,26NOV1988,NGR,08SEP2010
31,10.11,1.4,Marc BURNS,07JAN1983,TTO,12JUN2010
31,10.11,1.7,Oshane BAILEY,08SEP1989,JAM,09JUL2010
33,10.12,1.9,Aziz ZAKARI,02SEP1976,GHA,29JUL2010
34,10.13,1.4,Gerald PHIRI,06OCT1988,ZAM,16MAY2010
34,10.13,1.6,Leroy DIXON,20JUN1983,USA,30MAY2010
34,10.13,1.6,Derrick ATKINS,05JAN1984,BAH,30MAY2010
34,10.13,0.1,Kimmari ROACH,17APR1989,JAM,26JUN2010
38,10.14,0.7,Emmanuel CALLENDER,10MAY1984,TTO,26JUN2010
38,10.14,1.2,Tobias UNGER,10JUL1979,GER,03JUL2010
38,10.14,1.7,Maurice MITCHELL,22DEC1989,USA,09JUL2010
38,10.14,1.9,Simon MAGAKWE,14MAY1986,RSA,29JUL2010
38,10.14,0.9,Aaron ARMSTRONG,14OCT1977,TTO,07OCT2010
