Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.76,1.3,Usain BOLT,21AUG1986,JAM,16SEP2011
2,9.78,1.0,Asafa POWELL,23NOV1982,JAM,30JUN2011
3,9.79,1.1,Tyson GAY,09AUG1982,USA,04JUN2011
4,9.8,1.3,Steve MULLINGS,29NOV1982,JAM,04JUN2011
5,9.82,0.0,Yohan BLAKE,26DEC1989,JAM,08SEP2011
6,9.85,1.3,Michael RODGERS,24APR1985,USA,04JUN2011
6,9.85,1.0,Richard THOMPSON,07JUN1985,TTO,13AUG2011
8,9.88,1.0,Michael FRATER,06OCT1982,JAM,30JUN2011
9,9.89,1.3,Ngonidzashe MAKUSHA,11MAR1987,ZIM,10JUN2011
9,9.89,1.3,Nesta CARTER,10NOV1985,JAM,16SEP2011
11,9.92,2.0,Christophe LEMAITRE,11JUN1990,FRA,29JUL2011
12,9.93,1.0,Keston BLEDMAN,08MAR1988,TTO,04JUN2011
13,9.94,1.3,Darvis PATTON,04DEC1977,USA,04JUN2011
13,9.94,1.3,Walter DIX,31JAN1986,USA,24JUN2011
15,9.95,1.3,Justin GATLIN,10FEB1982,USA,24JUN2011
16,9.96,1.1,Nickel ASHMEADE,07APR1990,JAM,04JUN2011
17,9.97,1.3,Rakieem SALAAM,05APR1990,USA,10JUN2011
17,9.97,0.5,Daniel BAILEY,09SEP1986,ANT,12JUN2011
19,9.99,2.0,Travis PADGETT,13DEC1986,USA,21MAY2011
19,9.99,1.0,Jaysuma SAIDYNDURE,01JUL1984,NOR,30JUN2011
21,10.0,1.3,Maurice MITCHELL,22DEC1989,USA,10JUN2011
21,10.0,0.4,Kim COLLINS,05APR1976,SKN,24OCT2011
23,10.01,2.0,Dwain CHAMBERS,05APR1978,GBR,22MAY2011
23,10.01,0.2,Lerone CLARKE,07JUL1981,JAM,25OCT2011
25,10.02,1.3,Ivory WILLIAMS,02MAY1985,USA,04JUN2011
26,10.04,0.7,Jeff DEMPS,08JAN1990,USA,23JUN2011
26,10.04,1.3,Trell KIMMONS,13JUL1985,USA,24JUN2011
28,10.06,1.3,Gerald PHIRI,06OCT1988,ZAM,09APR2011
28,10.06,2.0,Dexter LEE,18JAN1991,JAM,22MAY2011
28,10.06,2.0,Ogho OgheneEGWERO,26NOV1988,NGR,12SEP2011
31,10.07,0.2,Femi OGUNODE,15MAY1991,QAT,21JUL2011
31,10.07,0.3,Jimmy VICAUT,27FEB1992,FRA,22JUL2011
31,10.07,1.0,Aaron ARMSTRONG,14OCT1977,TTO,13AUG2011
34,10.09,1.4,Jak AliHARVEY,04MAY1989,JAM,07MAY2011
34,10.09,0.8,Aziz OUHADI,24JUL1984,MAR,28MAY2011
34,10.09,1.0,Marc BURNS,07JAN1983,TTO,13AUG2011
37,10.1,0.3,Churandy MARTINA,03JUL1984,NED,29MAY2011
38,10.11,1.1,James DASAOLU,05SEP1987,GBR,28MAY2011
38,10.11,1.1,Mario FORSYTHE,30OCT1985,JAM,29MAY2011
38,10.11,0.5,Ainsley WAUGH,17SEP1981,JAM,13AUG2011
41,10.12,1.0,Emmanuel CALLENDER,10MAY1984,TTO,13AUG2011
42,10.13,2.0,Martial MBANDJOCK,14OCT1985,FRA,23APR2011
42,10.13,1.7,Prezel HARDY,01JUN1992,USA,23APR2011
42,10.13,1.8,Justin MURDOCK,21APR1989,USA,13MAY2011
42,10.13,1.1,Harry AIKINESARYEETEY,29AUG1988,GBR,28MAY2011
42,10.13,1.1,Rae MonzavousEDWARDS,07MAY1981,USA,29MAY2011
42,10.13,1.0,Darrel BROWN,11OCT1984,TTO,13AUG2011
42,10.13,1.8,Amr IbrahimMostafaSEOUD,10JUN1986,EGY,12SEP2011
49,10.14, ,Juane MILNER, ,USA,21APR2011
49,10.14,1.8,Calesio NEWMAN,20AUG1986,USA,15MAY2011
49,10.14,0.6,Kimmari ROACH,17APR1989,JAM,24JUN2011
49,10.14,0.9,Andrew HINDS,25APR1984,BAR,25JUN2011
49,10.14,1.2,Marlon DEVONISH,01JUN1976,GBR,30JUL2011
49,10.14,0.5,Ramil GULIYEV,29MAY1990,TUR,13AUG2011
49,10.14,-0.2,Rytis SAKALAUSKAS,27JUN1987,LTU,17AUG2011
49,10.14,1.8,Idrissa ADAM,28DEC1984,CMR,12SEP2011
57,10.15,1.0,Oshane BAILEY,08SEP1989,JAM,04JUN2011
57,10.15,0.9,Justyn WARNER,28JUN1987,CAN,11JUN2011
57,10.15,1.2,Dariusz KUĆ,24APR1986,POL,12JUN2011
60,10.16,1.4,Thuso MPUANG,01MAR1984,RSA,03JUL2011
60,10.16,0.7,Bingtian SU,29AUG1989,CHN,08SEP2011
62,10.17,0.9,Emre ZaferBARNES,07NOV1988,JAM,12MAR2011
62,10.17,0.7,Leroy DIXON,20JUN1983,USA,16APR2011
62,10.17,0.9,Christian MALCOLM,03JUN1979,GBR,30JUL2011
62,10.17,1.0,Rondel SORRILLO,21JAN1986,TTO,13AUG2011
62,10.17,1.8,Barakat ALHARTHI,15JUN1988,OMA,17OCT2011
67,10.18,0.8,Kenroy ANDERSON,27JUN1987,JAM,12MAR2011
67,10.18,1.6,Simon MAGAKWE,14MAY1986,RSA,09APR2011
67,10.18,1.3,Shane CRAWFORD,04JUN1988,USA,15MAY2011
67,10.18,2.0,Nilson AndreDEOLIVEIRA,30JAN1986,BRA,22MAY2011
67,10.18,1.0,Peter EMELIEZE,19APR1988,NGR,28MAY2011
67,10.18,1.2,Francis OBIKWELU,22NOV1978,POR,12JUN2011
67,10.18,1.4,Ronalds ARAJS,29NOV1987,LAT,03JUL2011
74,10.19,1.6,Roscoe ENGEL,06MAR1989,RSA,09APR2011
74,10.19,1.0,Harry ADAMS,27NOV1989,USA,14MAY2011
74,10.19,1.3,Terrell WILKS,30DEC1989,USA,10JUN2011
74,10.19,0.3,Jonathan HANCOCK,31MAR1987,USA,17JUN2011
74,10.19,1.9,Craig PICKERING,16OCT1986,GBR,16JUL2011
74,10.19,1.4,Reto AmaruSCHENKEL,28APR1988,SUI,30JUL2011
74,10.19,1.3,L EWISFRANCIS,04SEP1982,GBR,16SEP2011
81,10.2,1.3,Woodrow RANDALL,09NOV1989,USA,09APR2011
81,10.2,1.4,Remaldo ROSE,18NOV1987,JAM,07MAY2011
81,10.2,0.7,Charles SILMON,04JUL1991,USA,13MAY2011
81,10.2,1.3,Stanley AZIE,13MAR1989,USA,15MAY2011
81,10.2,0.7,Cordero GRAY,09MAY1989,USA,23JUN2011
81,10.2,0.9,Gavin SMELLIE,26JUN1986,CAN,16JUL2011
81,10.2,1.9,Alex SCHAF,28APR1987,GER,13AUG2011
88,10.21,1.9,Marek NIIT,09AUG1987,EST,25MAR2011
88,10.21,0.8,Keenan BROCK,01JUN1992,USA,02APR2011
88,10.21,1.9,Carlos RafaelJORGE,24SEP1986,DOM,15APR2011
88,10.21,1.9,Daniel AlfonsoGRUESO,30JUL1985,COL,15APR2011
88,10.21,1.4,Christopher DAVIS,01MAR1986,USA,23APR2011
88,10.21,0.8,J MeeSAMUELS,20MAY1987,USA,07MAY2011
88,10.21,0.5,Ahmad RASHAD,12DEC1987,USA,07MAY2011
88,10.21,1.3,Justin AUSTIN,10AUG1989,USA,15MAY2011
88,10.21,1.8,Daniel TALBOT,01MAY1991,GBR,22MAY2011
88,10.21,0.8,Ben YoussefMEIT,11NOV1986,CIV,28MAY2011
88,10.21,1.8,Jared CONNAUGHTON,20JUL1985,CAN,11JUN2011
88,10.21,0.7,Peimeng ZHANG,13MAR1987,CHN,08SEP2011
