Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.85,0.6,Justin GATLIN,10FEB1982,USA,22AUG2004
2,9.86,0.6,Francis OBIKWELU,22NOV1978,POR,22AUG2004
3,9.87,0.6,Maurice GREENE,23JUL1974,USA,22AUG2004
3,9.87,0.2,Asafa POWELL,23NOV1982,JAM,03SEP2004
5,9.88,1.8,Shawn CRAWFORD,14JAN1978,USA,19JUN2004
6,9.95,1.8,John CAPEL,27OCT1978,USA,19JUN2004
7,9.99,0.0,Coby MILLER,19OCT1976,USA,11JUL2004
8,10.0,1.1,Aziz ZAKARI,02SEP1976,GHA,27JUL2004
8,10.0,0.6,Kim COLLINS,05APR1976,SKN,22AUG2004
10,10.01,0.8,Leonard SCOTT,19JAN1980,USA,11JUL2004
11,10.04,0.0,Bernard WILLIAMS,19JAN1978,USA,11JUL2004
12,10.05,0.8,Steve MULLINGS,29NOV1982,JAM,05JUN2004
12,10.05,0.1,Uchenna EMEDOLU,17SEP1976,NGR,23JUN2004
14,10.06,1.7,Tyson GAY,09AUG1982,USA,11JUN2004
14,10.06,1.7,Michael FRATER,06OCT1982,JAM,11JUN2004
14,10.06,-0.1,Marcus BRUNSON,24APR1978,USA,01AUG2004
17,10.07,1.7,Mardy SCALES,10SEP1981,USA,11JUN2004
17,10.07,0.6,Deji ALIU,22NOV1975,NGR,04JUL2004
17,10.07,0.2,Tamunosiki ATORUDIBO,21MAR1985,NGR,08JUL2004
20,10.08,0.8,Obadele THOMPSON,30MAR1976,BAR,21AUG2004
21,10.09,2.0,Christie VANWYK,12OCT1977,NAM,20MAY2004
21,10.09,1.5,Nobuharu ASAHARA,21JUN1972,JPN,06JUN2004
21,10.09,-1.5,Joshua NORMAN,26JUL1980,USA,17JUN2004
21,10.09,-0.6,Ato BOLDON,30DEC1973,TTO,19JUN2004
21,10.09,0.3,Olusoji AdetokunboFASUBA,09JUL1984,NGR,08JUL2004
26,10.1,1.0,Shingo SUETSUGU,02JUN1980,JPN,06JUN2004
27,10.11,0.6,Aaron EGBELE,29JAN1979,NGR,24APR2004
27,10.11,0.0,Joshua JJOHNSON,10MAY1976,USA,08MAY2004
27,10.11,-0.6,Darrel BROWN,11OCT1984,TTO,22MAY2004
27,10.11,0.9,Brendan CHRISTIAN,11DEC1983,ANT,28MAY2004
27,10.11,1.7,Tyree GAILES,24FEB1983,USA,11JUN2004
27,10.11,1.6,Ronald POGNON,16NOV1982,FRA,04AUG2004
33,10.12,1.6,Darvis PATTON,04DEC1977,USA,07MAY2004
33,10.12,0.0,Mickey GRIMES,10OCT1976,USA,08MAY2004
33,10.12,1.4,Marc BURNS,07JAN1983,TTO,03AUG2004
33,10.12,-0.2,Frank FREDERICKS,02OCT1967,NAM,21AUG2004
33,10.12,0.0,L EWISFRANCIS,04SEP1982,GBR,21AUG2004
33,10.12,0.0,Dwight THOMAS,23SEP1980,JAM,21AUG2004
33,10.12,0.2,Jason GARDENER,18SEP1975,GBR,22AUG2004
40,10.13,1.3,Churandy MARTINA,03JUL1984,AHO,01MAY2004
40,10.13,0.7,Vicente LENILSONDELIMA,04JUN1977,BRA,06JUN2004
40,10.13,1.5,Pierre BROWNE,14JAN1980,CAN,10JUL2004
43,10.14,0.3,Christoforos CHOIDES,10SEP1978,GRE,19JUN2004
43,10.14,1.3,Jason SMOOTS,13JUL1980,USA,25JUN2004
43,10.14,-0.4,Brian LEWIS,05DEC1974,USA,10JUL2004
46,10.15,1.9,Korey COOK,07JAN1980,USA,08MAY2004
46,10.15,0.7,Andr DomingosDASILVA,26NOV1972,BRA,06JUN2004
46,10.15,1.7,Demi OMOLE,29JUL1985,USA,11JUN2004
46,10.15,1.2,Obadiah COOPER,08MAR1970,USA,26JUN2004
46,10.15,-0.1,Kareem STREETETHOMPSON,30MAR1973,CAY,21AUG2004
46,10.15,0.8,Matic OSOVNIKAR,19JAN1980,SLO,21AUG2004
52,10.16,0.8,Rae MonzavousEDWARDS,07MAY1981,USA,05JUN2004
52,10.16,0.7,Julien DUNKLEY,20DEC1975,JAM,15AUG2004
54,10.17,0.8,Jerome AVERY,22DEC1978,USA,05JUN2004
54,10.17,0.4,Anatoliy DOVGAL,29JAN1976,UKR,25JUN2004
56,10.18,1.1,Jarbas MASCARENHASJNIOR,25AUG1980,BRA,30MAY2004
56,10.18,-0.5,Konstantinos KENTERIS,11JUL1973,GRE,10JUN2004
56,10.18,-0.2,Leonard MYLESMILLS,05SEP1973,GHA,21AUG2004
59,10.19,1.9,Jamal AbdullahALSAFFAR,24OCT1971,KSA,25FEB2004
59,10.19,-0.6,Niconnor ALEXANDER,04FEB1977,TTO,19JUN2004
59,10.19,1.6,Daniel BAILEY,09SEP1986,ANT,13JUL2004
62,10.2,0.0,Ernest WIGGINS,18JUN1982,USA,15MAY2004
62,10.2,0.7,Łukasz CHYŁA,31MAR1981,POL,13JUN2004
62,10.2,1.6,Kaaron CONWRIGHT,08AUG1976,USA,26JUN2004
62,10.2,0.0,Simone COLLIO,27DEC1979,ITA,10JUL2004
62,10.2, ,Edson LucianoRIBEIRO,08DEC1972,BRA,10JUL2004
62,10.2, ,Cludio RobertoSOUZA,14OCT1973,BRA,10JUL2004
62,10.2,1.5,Nicolas MACROZONARIS,22AUG1980,CAN,10JUL2004
62,10.2,-0.1,Eric PacomeNDRI,24MAR1978,CIV,01AUG2004
62,10.2,1.6,Patrick JARRETT,02OCT1977,JAM,03AUG2004
62,10.2,1.6,Freddy MAYOLA,01NOV1977,CUB,03AUG2004
62,10.2,0.7,Clement CAMPBELL,19DEC1975,JAM,15AUG2004
