Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.77,1.5,Asafa POWELL,23NOV1982,JAM,11JUN2006
2,9.84,1.0,Tyson GAY,09AUG1982,USA,18AUG2006
3,9.85,1.7,Olusoji AdetokunboFASUBA,09JUL1984,NGR,12MAY2006
4,9.91,0.9,Leonard SCOTT,19JAN1980,USA,09SEP2006
5,9.99,1.3,Francis OBIKWELU,22NOV1978,POR,08AUG2006
5,9.99,1.0,Marcus BRUNSON,24APR1978,USA,18AUG2006
7,10.0,1.0,Travis PADGETT,13DEC1986,USA,27MAY2006
8,10.01,1.6,Shawn CRAWFORD,14JAN1978,USA,02JUN2006
8,10.01,0.0,Jason SMOOTS,13JUL1980,USA,27AUG2006
10,10.02,1.7,Marc BURNS,07JAN1983,TTO,06AUG2006
11,10.04,1.9,Churandy MARTINA,03JUL1984,AHO,15APR2006
12,10.06,1.5,Michael FRATER,06OCT1982,JAM,11JUN2006
12,10.06,1.7,Christopher WILLIAMS,15MAR1972,JAM,06AUG2006
14,10.07,1.0,Carlos MOORE,08MAY1984,USA,04JUN2006
14,10.07,1.5,Dwain CHAMBERS,05APR1978,GBR,11JUN2006
16,10.08,2.0,Derrick ATKINS,05JAN1984,BAH,25JUL2006
17,10.09, ,Korey COOK,07JAN1980,USA,01APR2006
17,10.09,-0.5,Xavier CARTER,08DEC1985,USA,10JUN2006
19,10.1,1.3,Andrey YEPISHIN,10JUN1981,RUS,08AUG2006
19,10.1,0.9,Ronald POGNON,16NOV1982,FRA,09SEP2006
21,10.11, ,Robert DELMORE, ,USA,01APR2006
21,10.11,1.4,Demi OMOLE,29JUL1985,USA,14APR2006
21,10.11,1.7,Terrence TRAMMELL,23NOV1978,USA,12MAY2006
21,10.11,1.5,Dwight THOMAS,23SEP1980,JAM,21MAY2006
21,10.11,-0.3,Darrel BROWN,11OCT1984,TTO,24JUL2006
21,10.11,0.4,Wallace SPEARMON,24DEC1984,USA,23SEP2006
27,10.12,1.7,Anson HENRY,09MAR1979,CAN,12MAY2006
27,10.12,-0.6,Walter DIX,31JAN1986,USA,26MAY2006
27,10.12,2.0,Clement CAMPBELL,19DEC1975,JAM,11JUN2006
27,10.12,1.5,Willie PERRY,16MAY1987,USA,22JUN2006
31,10.13,0.9,Kelly WILLIE,07SEP1982,USA,11JUL2006
