Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
52,10.13,2.0,Harry AIKINESARYEETEY,29AUG1988,GBR,20SEP2009
54,10.14,0.0,Bernard WILLIAMS,19JAN1978,USA,13JUN2009
55,10.15,1.9,Jos CarlosMOREIRA,28SEP1983,BRA,02MAY2009
55,10.15,1.1,Terrell WILKS,30DEC1989,USA,17MAY2009
55,10.15,1.7,Kawayne FISHER,25OCT1986,JAM,23MAY2009
55,10.15,0.6,Kim COLLINS,05APR1976,SKN,21JUN2009
55,10.15,1.0,Fabio CERUTTI,26SEP1985,ITA,28JUN2009
55,10.15,1.1,Stphan BUCKLAND,12JAN1977,MRI,30JUN2009
61,10.16,1.5,Emre ZaferBARNES,07NOV1988,JAM,14MAR2009
61,10.16,1.8,Bruno LinsTENORIODEBARROS,07JAN1987,BRA,21MAR2009
61,10.16,1.3,Michael HERRERA,05JUN1985,CUB,23APR2009
61,10.16,0.1,Ainsley WAUGH,17SEP1981,JAM,24MAY2009
61,10.16,-0.9,Trell KIMMONS,13JUL1985,USA,13JUN2009
61,10.16,0.5,Mario FORSYTHE,30OCT1985,JAM,31JUL2009
67,10.17,1.0,Derrick ATKINS,05JAN1984,BAH,25APR2009
67,10.17, ,Agung SuryoWIBOWO,08OCT1983,INA,13DEC2009
69,10.18,1.7,Ramon GITTENS,20JUL1987,BAR,23MAY2009
69,10.18,-0.3,Marvin ANDERSON,12MAY1982,JAM,24MAY2009
69,10.18,-2.5,Tobias UNGER,10JUL1979,GER,04JUL2009
69,10.18,0.4,Wallace SPEARMON,24DEC1984,USA,28AUG2009
73,10.19,1.6,Michael GARVIN,29SEP1986,USA,04APR2009
73,10.19,1.9,Tyree GAILES,24FEB1983,USA,07MAY2009
73,10.19,1.8,Stefan SCHWAB,29MAY1987,GER,07JUN2009
73,10.19,0.5,Arnaldo ABRANTES,27NOV1986,POR,08JUL2009
73,10.19,0.4,Ogho OgheneEGWERO,26NOV1988,NGR,15AUG2009
78,10.2,1.3,Shinji TAKAHIRA,18JUL1984,JPN,29APR2009
78,10.2,1.4,Zye BOEY,08MAY1989,USA,15MAY2009
78,10.2,1.5,David LESCAY,19FEB1989,CUB,18JUN2009
78,10.2,0.5,Olusoji AdetokunboFASUBA,09JUL1984,NGR,08JUL2009
82,10.21,1.0,Simon MAGAKWE,14MAY1986,RSA,14MAR2009
82,10.21,1.3,Vicente LENILSONDELIMA,04JUN1977,BRA,24MAR2009
82,10.21,1.7,Matas USANDIVARAS,14SEP1981,ARG,01APR2009
82,10.21,1.4,Ronald POGNON,16NOV1982,FRA,08MAY2009
82,10.21,-3.6,Chris LAWSON,12MAR1983,USA,23MAY2009
82,10.21,0.9,Reggie DIXON,07JUN1988,USA,30MAY2009
82,10.21,0.1,Shawn CRAWFORD,14JAN1978,USA,07JUN2009
82,10.21,1.5,Ryan MOSELEY,08OCT1982,AUT,09JUN2009
82,10.21,0.2,Emanuele DIGREGORIO,13DEC1980,ITA,20JUN2009
82,10.21,1.4,Shintaro KIMURA,30JUN1987,JPN,27JUN2009
82,10.21,0.3,Ben YoussefMEIT,11NOV1986,CIV,18JUL2009
82,10.21,1.3,Baslio EmilioDEMORAESJNIOR,11MAY1982,BRA,24JUL2009
82,10.21,1.8,Adam HARRIS,21JUL1987,GUY,25JUL2009
82,10.21,1.0,Dariusz KUĆ,24APR1986,POL,31JUL2009
96,10.22,0.9,Rubin WILLIAMS,09JUL1983,USA,18APR2009
96,10.22,1.6,Kimour BRUCE,06SEP1986,JAM,21MAY2009
96,10.22,1.4,Leon COVINGTON,09FEB1986,USA,07JUN2009
96,10.22,1.9,Daniel AlfonsoGRUESO,30JUL1985,COL,07JUN2009
96,10.22,1.4,J MeeSAMUELS,20MAY1987,USA,10JUN2009
