Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.58,0.9,Usain BOLT,21AUG1986,JAM,16AUG2009
2,9.69,2.0,Tyson GAY,09AUG1982,USA,20SEP2009
3,9.82,1.4,Asafa POWELL,23NOV1982,JAM,15SEP2009
4,9.89,2.0,Darvis PATTON,04DEC1977,USA,20SEP2009
5,9.91,-0.2,Daniel BAILEY,09SEP1986,ANT,17JUL2009
5,9.91,2.0,Nesta CARTER,10NOV1985,JAM,20SEP2009
7,9.93,1.1,Ivory WILLIAMS,02MAY1985,USA,20JUL2009
7,9.93,0.9,Richard THOMPSON,07JUN1985,TTO,16AUG2009
9,9.94,1.7,Michael RODGERS,24APR1985,USA,07JUN2009
10,9.97,-0.1,Churandy MARTINA,03JUL1984,AHO,01JUN2009
11,9.99,0.4,Lerone CLARKE,07JUL1981,JAM,28AUG2009
12,10.0,-1.1,Walter DIX,31JAN1986,USA,11APR2009
12,10.0,1.4,Travis PADGETT,13DEC1986,USA,08MAY2009
12,10.0,1.4,Trindon HOLLIDAY,27APR1986,USA,10JUN2009
12,10.0,0.9,Dwain CHAMBERS,05APR1978,GBR,16AUG2009
12,10.0,0.9,Marc BURNS,07JAN1983,TTO,16AUG2009
17,10.01,0.9,Jacoby FORD,27JUL1987,USA,10JUN2009
17,10.01,0.4,Steve MULLINGS,29NOV1982,JAM,10JUL2009
19,10.02,-0.1,Rae MonzavousEDWARDS,07MAY1981,USA,01JUN2009
19,10.02,-0.2,Michael FRATER,06OCT1982,JAM,27JUN2009
21,10.03,0.5,Aaron ARMSTRONG,14OCT1977,TTO,19JUN2009
21,10.03,0.0,Andrew HINDS,25APR1984,BAR,20JUN2009
21,10.03,0.7,Marcus ROWLAND,11MAR1990,USA,31JUL2009
24,10.04,1.7,D AngeloCHERRY,01AUG1990,USA,10JUN2009
24,10.04,1.1,J ELKS,10APR1984,USA,20JUL2009
24,10.04,0.2,Christophe LEMAITRE,11JUN1990,FRA,24JUL2009
27,10.05,1.9,Ryan BAILEY,13APR1989,USA,22MAY2009
27,10.05,0.5,Darrel BROWN,11OCT1984,TTO,19JUN2009
27,10.05,-1.8,Simeon WILLIAMSON,16JAN1986,GBR,11JUL2009
27,10.05,0.4,Emmanuel CALLENDER,10MAY1984,TTO,28AUG2009
31,10.06,2.0,Dwight PHILLIPS,01OCT1977,USA,09MAY2009
31,10.06,1.2,Simone COLLIO,27DEC1979,ITA,21JUL2009
31,10.06,0.2,Leroy DIXON,20JUN1983,USA,25JUL2009
34,10.07,0.1,Yohan BLAKE,26DEC1989,JAM,02MAY2009
34,10.07,1.9,Masashi ERIGUCHI,17DEC1988,JPN,28JUN2009
36,10.08,1.1,Jeremy HALL,27JAN1988,USA,17MAY2009
36,10.08,1.3,Ramil GULIYEV,29MAY1990,AZE,13JUN2009
38,10.09,1.3,Alonso EDWARD,08DEC1989,PAN,23MAY2009
38,10.09,0.9,James DASAOLU,05SEP1987,GBR,06JUN2009
38,10.09,1.8,Naoki TSUKAHARA,10MAY1985,JPN,27JUN2009
38,10.09,1.3,Brendan CHRISTIAN,11DEC1983,ANT,27JUN2009
38,10.09,1.1,Tyrone EDGAR,29MAR1982,GBR,20JUL2009
38,10.09,1.9,Pato BANGURAGIBRILLA,10MAY1985,SLE,29JUL2009
44,10.1,0.3,Ahmad RASHAD,12DEC1987,USA,12JUN2009
44,10.1,0.5,Keston BLEDMAN,08MAR1988,TTO,19JUN2009
44,10.1,0.5,Francis OBIKWELU,22NOV1978,POR,08JUL2009
44,10.1,-0.6,Jaysuma SAIDYNDURE,01JUL1984,NOR,13JUL2009
48,10.11,0.5,Marlon DEVONISH,01JUN1976,GBR,11APR2009
48,10.11,1.6,Martial MBANDJOCK,14OCT1985,FRA,26JUN2009
48,10.11,1.3,Sandro RicardoRODRIGUESVIANA,26MAR1977,BRA,24JUL2009
51,10.12,0.0,Marcus BRUNSON,24APR1978,USA,21MAR2009
52,10.13,1.5,Gerald PHIRI,06OCT1988,GBR,30MAY2009
