Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.93,1.8,Patrick JOHNSON,26SEP1972,AUS,05MAY2003
2,9.94,1.4,Maurice GREENE,23JUL1974,USA,01JUN2003
3,9.95,0.6,Deji ALIU,22NOV1975,NGR,12OCT2003
4,9.97,1.3,John CAPEL,27OCT1978,USA,15AUG2003
4,9.97,1.3,Justin GATLIN,10FEB1982,USA,15AUG2003
4,9.97,0.6,Uchenna EMEDOLU,17SEP1976,NGR,12OCT2003
7,9.99,1.3,Kim COLLINS,05APR1976,SKN,15AUG2003
7,9.99,1.5,Mickey GRIMES,10OCT1976,USA,15AUG2003
9,10.0,1.3,Frank FREDERICKS,02OCT1967,NAM,11APR2003
9,10.0,1.5,Darvis PATTON,04DEC1977,USA,15AUG2003
11,10.01,0.0,Darrel BROWN,11OCT1984,TTO,24AUG2003
12,10.02,0.8,Asafa POWELL,23NOV1982,JAM,05SEP2003
13,10.03,0.0,Nicolas MACROZONARIS,22AUG1980,CAN,03MAY2003
13,10.03,1.8,Shingo SUETSUGU,02JUN1980,JPN,05MAY2003
13,10.03,0.6,Leonard MYLESMILLS,05SEP1973,GHA,12OCT2003
16,10.04,1.9,Bernard WILLIAMS,19JAN1978,USA,13SEP2003
17,10.05,0.0,Joshua JJOHNSON,10MAY1976,USA,17MAY2003
18,10.07,0.0,Shawn CRAWFORD,14JAN1978,USA,04APR2003
18,10.07,2.0,Marcus BRUNSON,24APR1978,USA,26APR2003
18,10.07,0.0,Jon DRUMMOND,09SEP1968,USA,03MAY2003
18,10.07,0.0,Coby MILLER,19OCT1976,USA,03MAY2003
18,10.07,0.0,Aziz ZAKARI,02SEP1976,GHA,17MAY2003
18,10.07,1.1,Da BryanBLANTON,03JUL1984,USA,30MAY2003
18,10.07,0.0,L EWISFRANCIS,04SEP1982,GBR,12JUN2003
25,10.08,1.3,Sherwin VRIES,22MAR1980,RSA,11APR2003
25,10.08,0.9,Obadele THOMPSON,30MAR1976,BAR,12JUL2003
25,10.08,0.0,Darren CAMPBELL,12SEP1973,GBR,25AUG2003
28,10.09,1.2,Matt SHIRVINGTON,25OCT1978,AUS,12APR2003
