Rank,Time,Wind,Name,Date of Birth,Nationality,Event Date
1,9.77,1.6,Asafa POWELL,23NOV1982,JAM,14JUN2005
2,9.88,0.4,Justin GATLIN,10FEB1982,USA,07AUG2005
3,9.94,1.0,Leonard SCOTT,19JAN1980,USA,22JUL2005
4,9.96,1.0,Marc BURNS,07JAN1983,TTO,25JUN2005
5,9.99,1.6,Aziz ZAKARI,02SEP1976,GHA,14JUN2005
5,9.99,1.0,Darrel BROWN,11OCT1984,TTO,25JUN2005
5,9.99,1.0,Shawn CRAWFORD,14JAN1978,USA,25JUN2005
5,9.99,1.8,Ronald POGNON,16NOV1982,FRA,05JUL2005
9,10.0,1.0,Kim COLLINS,05APR1976,SKN,22JUL2005
9,10.0,0.5,Dwight THOMAS,23SEP1980,JAM,23AUG2005
11,10.01,1.9,Maurice GREENE,23JUL1974,USA,25JUN2005
12,10.02,1.9,J ELKS,10APR1984,USA,06JUL2005
13,10.03,1.6,Michael FRATER,06OCT1982,JAM,14JUN2005
14,10.04,1.6,Francis OBIKWELU,22NOV1978,POR,14JUN2005
14,10.04,1.0,Aaron ARMSTRONG,14OCT1977,TTO,25JUN2005
16,10.06,1.5,Walter DIX,31JAN1986,USA,27MAY2005
17,10.08,1.3,John CAPEL,27OCT1978,USA,30MAY2005
17,10.08,0.7,J MeeSAMUELS,20MAY1987,USA,24JUL2005
17,10.08,-1.0,Jason GARDENER,18SEP1975,GBR,07AUG2005
17,10.08,1.4,Rae MonzavousEDWARDS,07MAY1981,USA,16AUG2005
17,10.08,0.5,Tyson GAY,09AUG1982,USA,28AUG2005
22,10.09, ,Olusoji AdetokunboFASUBA,09JUL1984,NGR,07MAY2005
22,10.09,1.8,Joshua JJOHNSON,10MAY1976,USA,15MAY2005
24,10.1,1.0,Jacey HARPER,20MAY1980,TTO,25JUN2005
24,10.1,1.9,Mardy SCALES,10SEP1981,USA,25JUN2005
24,10.1,1.9,Churandy MARTINA,03JUL1984,AHO,09JUL2005
27,10.12,1.1,Joshua ROSS,09FEB1981,AUS,22JAN2005
27,10.12,1.7,Da BryanBLANTON,03JUL1984,USA,25JUN2005
29,10.13,1.8,L EWISFRANCIS,04SEP1982,GBR,07MAY2005
29,10.13,1.6,Jason SMOOTS,13JUL1980,USA,14MAY2005
29,10.13, ,Uchenna EMEDOLU,17SEP1976,NGR,09JUL2005
29,10.13,1.1,Marlon DEVONISH,01JUN1976,GBR,21AUG2005
29,10.13,1.2,Christopher WILLIAMS,15MAR1972,JAM,19SEP2005
34,10.14,1.4,Dwight PHILLIPS,01OCT1977,USA,30APR2005
35,10.15,1.5,Shingo SUETSUGU,02JUN1980,JPN,29APR2005
35,10.15,1.6,Patrick JARRETT,02OCT1977,JAM,14JUN2005
37,10.16,1.8,Coby MILLER,19OCT1976,USA,07MAY2005
37,10.16,1.3,Brian LEWIS,05DEC1974,USA,30MAY2005
37,10.16,1.6,Aaron EGBELE,29JAN1979,NGR,14JUN2005
37,10.16,1.7,Joshua NORMAN,26JUL1980,USA,25JUN2005
37,10.16,0.3,Tobias UNGER,10JUL1979,GER,02JUL2005
37,10.16,0.9,Ainsley WAUGH,17SEP1981,JAM,06AUG2005
43,10.17,1.8,Vicente LENILSONDELIMA,04JUN1977,BRA,15MAY2005
43,10.17,-1.3,Terrence TRAMMELL,23NOV1978,USA,22MAY2005
45,10.19,1.1,Daniel BATMAN,20MAR1981,AUS,22JAN2005
45,10.19,1.9,James MCSWAIN,20JAN1984,USA,17APR2005
45,10.19,1.5,Leroy DIXON,20JUN1983,USA,27MAY2005
45,10.19,1.0,Deji ALIU,22NOV1975,NGR,04JUN2005
49,10.2,1.1,Joseph BATANGDON,29JUL1978,CMR,22JAN2005
49,10.2,1.9,Henry VIZCANO,16MAY1980,CUB,09JUL2005
49,10.2,0.9,Patrick JOHNSON,26SEP1972,AUS,06AUG2005
52,10.21,1.0,Idrissa SANOU,12JUN1977,BUR,06APR2005
52,10.21,0.8,Salem MubarakALYAMI,09FEB1982,KSA,13APR2005
52,10.21,1.9,Derrick ATKINS,05JAN1984,BAH,09JUL2005
55,10.22,1.1,Ambrose EZENWA,10APR1977,NGR,22JAN2005
55,10.22, ,Ivory WILLIAMS,02MAY1985,USA,02APR2005
55,10.22,0.0,Trell KIMMONS,13JUL1985,USA,07MAY2005
55,10.22,1.5,Chris JOHNSON,28APR1982,USA,15MAY2005
55,10.22,1.1,Craig PICKERING,16OCT1986,GBR,22MAY2005
55,10.22,0.9,Michael MITCHELL,16MAY1981,USA,22MAY2005
55,10.22,1.0,Kevon PIERRE,30MAR1982,TTO,25JUN2005
55,10.22,0.6,Simone COLLIO,27DEC1979,ITA,08JUL2005
63,10.23,1.5,Wesley FELIX,21JUL1983,USA,30APR2005
63,10.23,1.6,Ke JIN,13JAN1984,CHN,19JUN2005
63,10.23,1.2,Eddy DELEPINE,30MAR1984,FRA,02JUL2005
66,10.24,1.5,Phillip FRANCIS,26APR1983,USA,30APR2005
66,10.24,1.1,Simeon WILLIAMSON,16JAN1986,GBR,02JUL2005
66,10.24,1.9,Lerone CLARKE,07JUL1981,JAM,09JUL2005
66,10.24,0.3,Lueyi DOVY,10NOV1975,FRA,15JUL2005
66,10.24,1.3,Matic OSOVNIKAR,19JAN1980,SLO,23JUL2005
71,10.25,1.9,Rodney MARTIN,22DEC1982,USA,16APR2005
71,10.25,1.3,F INDLAY,20MAR1978,GBR,29MAY2005
71,10.25,-0.3,Cludio RobertoSOUZA,14OCT1973,BRA,29MAY2005
71,10.25,-0.1,Christian MALCOLM,03JUN1979,GBR,17JUN2005
71,10.25,1.1,Guus HOOGMOED,27SEP1981,NED,18JUN2005
71,10.25,1.0,Demi OMOLE,29JUL1985,USA,25JUN2005
71,10.25,1.7,John WOODS,19JUN1982,USA,25JUN2005
78,10.26,0.7,Kelly WILLIE,07SEP1982,USA,08APR2005
78,10.26,1.9,Derrick JOHNSON,07MAR1982,USA,16APR2005
78,10.26,1.5,Greg BOLDEN,30JUN1984,USA,26MAY2005
78,10.26,1.9,Freddy MAYOLA,01NOV1977,CUB,06JUL2005
78,10.26,0.1,Bernard WILLIAMS,19JAN1978,USA,08JUL2005
78,10.26,0.7,Justyn WARNER,28JUN1987,CAN,30JUL2005
84,10.27,-3.5,Morne NAGEL,23MAR1978,RSA,11MAR2005
84,10.27, ,Yhann PLUMMER,03FEB1983,JAM,10APR2005
84,10.27,1.8,Darvis PATTON,04DEC1977,USA,07MAY2005
84,10.27,0.9,Kaaron CONWRIGHT,08AUG1976,USA,22MAY2005
84,10.27,-0.3,Baslio EmilioDEMORAESJNIOR,11MAY1982,BRA,29MAY2005
84,10.27,0.8,Pierre BROWNE,14JAN1980,CAN,10JUN2005
84,10.27, ,Tlhalosang MOLAPISI,15MAR1973,BOT,12JUN2005
84,10.27,-0.8,Kai HU,04AUG1982,CHN,19JUN2005
84,10.27,1.9,Leigh JULIUS,25MAR1985,RSA,03JUL2005
84,10.27,2.0,Tatsuro YOSHINO,11SEP1982,JPN,10JUL2005
94,10.28,-3.5,Sherwin VRIES,22MAR1980,RSA,11MAR2005
94,10.28,1.6,Solomon NORMAN,07NOV1985,USA,26MAR2005
94,10.28,-0.3,Marvin ANDERSON,12MAY1982,JAM,14MAY2005
94,10.28,1.3,Brian JOHNSON,05MAR1980,USA,30MAY2005
94,10.28,-0.9,Stphan BUCKLAND,12JAN1977,MRI,15JUN2005
94,10.28,1.3,Hank PALMER,16MAR1985,CAN,22JUN2005
94,10.28,1.3,Alexander KOSENKOW,14MAR1977,GER,02JUL2005
